timestamp,watts,volts,amps
2026-03-15T18:34:40.240949,3.8,120.4,0.371
2026-03-15T18:34:41.234247,3.8,120.4,0.371
2026-03-15T18:34:42.239685,3.9,120.4,0.369
2026-03-15T18:34:43.234354,3.8,120.4,0.371
2026-03-15T18:34:44.241912,3.8,120.4,0.371
2026-03-15T18:34:45.236368,3.8,120.4,0.369
2026-03-15T18:34:46.241594,3.8,120.4,0.37
2026-03-15T18:34:47.251030,3.8,120.4,0.371
2026-03-15T18:34:48.240430,3.9,120.5,0.371
2026-03-15T18:34:49.246526,3.9,120.5,0.369
2026-03-15T18:34:50.240505,3.8,120.5,0.369
2026-03-15T18:34:51.248269,3.8,120.4,0.369
2026-03-15T18:34:52.238924,3.8,120.4,0.37
2026-03-15T18:34:53.244337,3.8,120.5,0.37
2026-03-15T18:34:54.252511,3.8,120.5,0.37
2026-03-15T18:34:55.243011,3.8,120.4,0.372
2026-03-15T18:34:56.249885,3.8,120.4,0.371
2026-03-15T18:34:57.242957,3.8,120.5,0.37
2026-03-15T18:34:58.249782,3.8,120.5,0.37
2026-03-15T18:34:59.242491,3.8,120.4,0.371
2026-03-15T18:35:00.248637,3.8,120.4,0.37
2026-03-15T18:35:01.254384,3.8,120.4,0.371
2026-03-15T18:35:02.246643,3.8,120.4,0.371
2026-03-15T18:35:03.253153,3.8,120.5,0.371
2026-03-15T18:35:04.246628,3.8,120.5,0.37
2026-03-15T18:35:05.253537,3.8,120.4,0.371
2026-03-15T18:35:06.246240,3.8,120.5,0.371
2026-03-15T18:35:07.253428,3.8,120.5,0.369
2026-03-15T18:35:08.260863,3.8,120.5,0.37
2026-03-15T18:35:09.251219,3.8,120.4,0.371
2026-03-15T18:35:10.256638,3.8,120.5,0.37
2026-03-15T18:35:11.249688,3.8,120.5,0.37
2026-03-15T18:35:12.256846,3.9,120.5,0.371
2026-03-15T18:35:13.264054,3.9,120.4,0.37
2026-03-15T18:35:14.254925,3.9,120.5,0.37
2026-03-15T18:35:15.263015,3.9,120.4,0.37
2026-03-15T18:35:16.268583,3.8,120.4,0.369
2026-03-15T18:35:17.258790,3.8,120.5,0.37
2026-03-15T18:35:18.266085,3.8,120.5,0.369
2026-03-15T18:35:19.256438,3.8,120.5,0.37
2026-03-15T18:35:20.261959,3.9,120.5,0.37
2026-03-15T18:35:21.256706,3.8,120.5,0.371
2026-03-15T18:35:22.262271,3.8,120.5,0.372
2026-03-15T18:35:23.269631,3.9,120.5,0.37
2026-03-15T18:35:24.261847,3.9,120.5,0.37
2026-03-15T18:35:25.269321,3.9,120.5,0.371
2026-03-15T18:35:26.259741,3.9,120.5,0.371
2026-03-15T18:35:27.264943,3.9,120.5,0.371
2026-03-15T18:35:28.273948,3.8,120.5,0.371
2026-03-15T18:35:29.264138,3.8,120.5,0.371
2026-03-15T18:35:30.271441,3.8,120.5,0.371
2026-03-15T18:35:31.262425,3.8,120.5,0.371
2026-03-15T18:35:32.267191,3.8,120.5,0.372
2026-03-15T18:35:33.260921,3.8,120.4,0.372
2026-03-15T18:35:34.267357,3.9,120.5,0.372
2026-03-15T18:35:35.260566,3.9,120.4,0.372
2026-03-15T18:35:36.267567,3.9,120.4,0.371
2026-03-15T18:35:37.260896,3.9,120.4,0.371
2026-03-15T18:35:38.265283,3.8,120.4,0.371
2026-03-15T18:35:39.274888,3.8,120.5,0.371
