timestamp,watts,volts,amps
2026-03-27T16:27:51.434056,10.1,119.8,0.394
2026-03-27T16:27:52.440932,10.1,119.7,0.395
2026-03-27T16:27:53.447518,10.1,119.7,0.394
2026-03-27T16:27:54.435226,10.0,119.8,0.394
2026-03-27T16:27:55.444188,10.1,119.8,0.393
2026-03-27T16:27:56.434829,10.0,119.8,0.393
2026-03-27T16:27:57.438950,10.1,119.7,0.397
2026-03-27T16:27:58.444125,10.1,119.8,0.395
2026-03-27T16:27:59.435596,10.1,119.7,0.397
2026-03-27T16:28:00.442412,10.0,119.8,0.397
2026-03-27T16:28:01.436289,10.0,119.9,0.394
2026-03-27T16:28:02.442684,10.0,119.9,0.395
2026-03-27T16:28:03.450230,10.1,119.9,0.393
2026-03-27T16:28:04.437978,10.1,119.8,0.389
2026-03-27T16:28:05.449058,9.9,119.8,0.389
2026-03-27T16:28:06.438473,9.7,119.8,0.388
2026-03-27T16:28:07.443026,9.6,119.8,0.389
2026-03-27T16:28:08.435094,9.5,119.8,0.388
