arm_freq,arm_freq_min,conv_avg_ms,core_freq,core_freq_min,gpu_freq,gpu_freq_min,idle_power_w,over_voltage,over_voltage_min,run_dir,run_power_w,total_exec_ms,v3d_freq,v3d_freq_min
0,2200,530.082859,0,500,0,0,4.028333333333333,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2200_core_freq_min500_v3d_freq_min500\run9,5.190909090909091,10601.678327,0,500
0,2300,507.908686,0,500,0,0,4.056666666666667,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2300_core_freq_min500_v3d_freq_min500\run1,5.390000000000001,10158.191087,0,500
0,2300,509.33139,0,500,0,0,4.073333333333333,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2300_core_freq_min500_v3d_freq_min500\run2,5.4,10186.666235,0,500
0,2300,508.297617,0,500,0,0,4.058333333333334,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2300_core_freq_min500_v3d_freq_min500\run3,5.34,10165.988587,0,500
0,2300,508.39714,0,500,0,0,4.0633333333333335,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2300_core_freq_min500_v3d_freq_min500\run4,5.4,10167.958364,0,500
0,2300,507.402057,0,500,0,0,4.051666666666667,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2300_core_freq_min500_v3d_freq_min500\run5,5.3,10148.062142,0,500
0,2300,507.108236,0,500,0,0,4.051666666666667,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2300_core_freq_min500_v3d_freq_min500\run6,5.279999999999999,10142.185938,0,500
0,2300,508.725642,0,500,0,0,4.046666666666666,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2300_core_freq_min500_v3d_freq_min500\run7,5.4,10174.529161,0,500
0,2300,508.37527,0,500,0,0,4.0216666666666665,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2300_core_freq_min500_v3d_freq_min500\run8,5.3100000000000005,10167.522272,0,500
0,2300,506.942694,0,500,0,0,4.055,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2300_core_freq_min500_v3d_freq_min500\run9,5.390000000000001,10138.876087,0,500
0,2400,487.27826,0,500,0,0,4.09,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2400_core_freq_min500_v3d_freq_min500\run1,5.5,9745.580494,0,500
0,2400,488.504803,0,500,0,0,4.121666666666666,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2400_core_freq_min500_v3d_freq_min500\run2,5.5,9770.118605,0,500
0,2400,487.693684,0,500,0,0,4.086666666666667,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2400_core_freq_min500_v3d_freq_min500\run3,5.51,9753.898494,0,500
0,2400,488.16713,0,500,0,0,4.101666666666667,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2400_core_freq_min500_v3d_freq_min500\run4,5.5,9763.361938,0,500
0,2400,489.613247,0,500,0,0,4.098333333333333,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2400_core_freq_min500_v3d_freq_min500\run5,5.5,9792.300402,0,500
0,2400,488.21278,0,500,0,0,4.128333333333333,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2400_core_freq_min500_v3d_freq_min500\run6,5.44,9764.28492,0,500
0,2400,487.303384,0,500,0,0,4.068333333333333,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2400_core_freq_min500_v3d_freq_min500\run7,5.5,9746.08155,0,500
0,2400,488.568777,0,500,0,0,4.078333333333333,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2400_core_freq_min500_v3d_freq_min500\run8,5.5,9771.405031,0,500
0,2400,488.961818,0,500,0,0,4.101666666666667,0,0,bench_logs\2026-03-12\CPU_test_3_arm_freq_min2400_core_freq_min500_v3d_freq_min500\run9,5.430000000000001,9779.270568,0,500
0,1500,764.037344,0,500,0,0,3.408333333333333,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run1,4.233333333333333,15280.771361,0,500
0,1500,765.546982,0,500,0,0,3.4116666666666666,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run2,4.24,15310.968898,0,500
0,1500,765.611512,0,500,0,0,3.415,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run3,4.1866666666666665,15312.261528,0,500
0,1500,764.574753,0,500,0,0,3.4116666666666666,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run4,4.2,15291.519695,0,500
0,1500,766.529698,0,500,0,0,3.385,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run5,4.22,15330.611324,0,500
0,1500,764.475665,0,500,0,0,3.4066666666666667,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run6,4.153333333333333,15289.530305,0,500
0,1500,765.087713,0,500,0,0,3.39,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run7,4.266666666666667,15301.773306,0,500
0,1500,765.18103,0,500,0,0,3.395,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run8,4.173333333333334,15303.672825,0,500
0,1500,765.180089,0,500,0,0,3.3733333333333335,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run9,4.193333333333333,15303.629268,0,500
0,1600,718.880023,0,500,0,0,3.798333333333333,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1600_core_freq_min500_v3d_freq_min500\run1,4.6,14377.619806,0,500
0,1600,718.982313,0,500,0,0,3.77,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1600_core_freq_min500_v3d_freq_min500\run2,4.5928571428571425,14379.668269,0,500
0,1600,717.489465,0,500,0,0,3.8366666666666664,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1600_core_freq_min500_v3d_freq_min500\run3,4.564285714285714,14349.805492,0,500
0,1600,719.964339,0,500,0,0,3.8,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1600_core_freq_min500_v3d_freq_min500\run4,4.507142857142857,14399.325195,0,500
0,1600,717.766922,0,500,0,0,3.808333333333333,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1600_core_freq_min500_v3d_freq_min500\run5,4.557142857142857,14355.357158,0,500
0,1600,719.127474,0,500,0,0,3.8266666666666667,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1600_core_freq_min500_v3d_freq_min500\run6,4.5857142857142845,14382.593214,0,500
0,1600,718.804546,0,500,0,0,3.783333333333333,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1600_core_freq_min500_v3d_freq_min500\run7,4.5928571428571425,14376.11351,0,500
0,1600,718.48209,0,500,0,0,3.798333333333333,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1600_core_freq_min500_v3d_freq_min500\run8,4.6,14369.670436,0,500
0,1600,718.593787,0,500,0,0,3.816666666666667,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1600_core_freq_min500_v3d_freq_min500\run9,4.621428571428572,14371.894677,0,500
0,1700,678.104976,0,500,0,0,3.79,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1700_core_freq_min500_v3d_freq_min500\run1,4.628571428571428,13562.14001,0,500
0,1700,676.399651,0,500,0,0,3.7816666666666667,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1700_core_freq_min500_v3d_freq_min500\run2,4.621428571428572,13528.010844,0,500
0,1700,676.290092,0,500,0,0,3.8266666666666667,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1700_core_freq_min500_v3d_freq_min500\run3,4.621428571428572,13525.824844,0,500
0,1700,676.15819,0,500,0,0,3.795,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1700_core_freq_min500_v3d_freq_min500\run4,4.6499999999999995,13523.187825,0,500
0,1700,676.792519,0,500,0,0,3.8049999999999997,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1700_core_freq_min500_v3d_freq_min500\run5,4.621428571428572,13535.873473,0,500
0,1700,676.544003,0,500,0,0,3.8149999999999995,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1700_core_freq_min500_v3d_freq_min500\run6,4.6,13530.898622,0,500
0,1700,677.53986,0,500,0,0,3.8266666666666667,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1700_core_freq_min500_v3d_freq_min500\run7,4.6499999999999995,13550.816343,0,500
0,1700,677.554431,0,500,0,0,3.8299999999999996,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1700_core_freq_min500_v3d_freq_min500\run8,4.607142857142857,13551.117714,0,500
0,1700,677.898966,0,500,0,0,3.8016666666666667,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1700_core_freq_min500_v3d_freq_min500\run9,4.635714285714285,13558.005158,0,500
0,1800,639.953902,0,500,0,0,3.8299999999999996,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1800_core_freq_min500_v3d_freq_min500\run1,4.7846153846153845,12799.099659,0,500
0,1800,641.662313,0,500,0,0,3.8866666666666663,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1800_core_freq_min500_v3d_freq_min500\run2,4.723076923076923,12833.283807,0,500
0,1800,640.187682,0,500,0,0,3.88,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1800_core_freq_min500_v3d_freq_min500\run3,4.7,12803.769566,0,500
0,1800,641.427618,0,500,0,0,3.8366666666666664,0,0,bench_logs\2026-03-13\CPU_test_3_arm_freq_min1800_core_freq_min500_v3d_freq_min500\run4,4.753846153846154,12828.56977,0,500
0,1500,1491.379656,0,500,0,0,3.4916666666666667,0,0,bench_logs\2026-03-13\CPU_test_4_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run1,5.65,29827.636075,0,500
0,1500,1564.995122,0,500,0,0,3.4733333333333336,0,0,bench_logs\2026-03-13\CPU_test_4_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run2,5.603225806451612,31299.957185,0,500
0,1500,1548.56192,0,500,0,0,3.4183333333333334,0,0,bench_logs\2026-03-13\CPU_test_4_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run3,5.538709677419354,30971.285593,0,500
0,1500,1541.202179,0,500,0,0,3.39,0,0,bench_logs\2026-03-13\CPU_test_4_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run4,5.6,30824.088759,0,500
0,1500,1552.08452,0,500,0,0,3.441666666666667,0,0,bench_logs\2026-03-13\CPU_test_4_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run5,5.590322580645161,31041.739445,0,500
0,1500,1543.687641,0,500,0,0,3.4699999999999998,0,0,bench_logs\2026-03-13\CPU_test_4_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run6,5.587096774193548,30873.801204,0,500
0,1500,1574.438141,0,500,0,0,3.4283333333333332,0,0,bench_logs\2026-03-13\CPU_test_4_arm_freq_min1500_core_freq_min500_v3d_freq_min500\run7,5.590322580645161,31488.806185,0,500
