timestamp,watts,volts,amps
2026-03-30T11:54:24.348784,8.6,119.7,0.39
2026-03-30T11:54:25.353020,8.6,119.7,0.389
2026-03-30T11:54:26.347273,8.6,119.8,0.391
2026-03-30T11:54:27.353440,8.6,119.8,0.39
2026-03-30T11:54:28.347147,8.6,119.7,0.39
2026-03-30T11:54:29.352114,8.6,119.7,0.39
2026-03-30T11:54:30.346253,8.6,119.7,0.391
2026-03-30T11:54:31.352298,8.6,119.7,0.39
2026-03-30T11:54:32.357077,8.6,119.8,0.391
2026-03-30T11:54:33.348563,8.6,119.7,0.391
2026-03-30T11:54:34.342256,8.6,119.7,0.391
2026-03-30T11:54:35.346350,8.6,119.8,0.391
2026-03-30T11:54:36.355795,8.6,119.8,0.39
2026-03-30T11:54:37.346360,8.6,119.7,0.39
2026-03-30T11:54:38.352401,8.6,119.7,0.389
2026-03-30T11:54:39.342613,8.6,119.6,0.389
2026-03-30T11:54:40.349008,8.6,119.7,0.39
2026-03-30T11:54:41.342754,8.6,119.7,0.39
2026-03-30T11:54:42.351392,8.6,119.4,0.391
2026-03-30T11:54:43.339711,8.6,119.6,0.391
2026-03-30T11:54:44.346095,8.6,119.6,0.391
2026-03-30T11:54:45.339365,8.6,119.6,0.39
2026-03-30T11:54:46.344905,8.7,119.6,0.391
2026-03-30T11:54:47.337780,8.6,119.6,0.39
2026-03-30T11:54:48.344533,8.6,119.5,0.39
2026-03-30T11:54:49.351167,8.6,119.6,0.389
2026-03-30T11:54:50.340789,8.6,119.6,0.389
2026-03-30T11:54:51.333550,8.6,119.6,0.39
2026-03-30T11:54:52.339417,8.6,119.6,0.39
2026-03-30T11:54:53.347976,8.6,119.5,0.39
2026-03-30T11:54:54.337875,8.6,119.5,0.391
2026-03-30T11:54:55.345731,8.6,119.5,0.39
2026-03-30T11:54:56.335792,8.6,119.6,0.389
2026-03-30T11:54:57.343655,8.6,119.5,0.391
2026-03-30T11:54:58.333160,8.6,119.6,0.39
2026-03-30T11:54:59.340033,8.6,119.6,0.391
2026-03-30T11:55:00.328790,8.6,119.6,0.392
2026-03-30T11:55:01.340181,8.6,119.4,0.391
2026-03-30T11:55:02.345417,8.6,119.4,0.391
2026-03-30T11:55:03.335113,8.6,119.5,0.39
2026-03-30T11:55:04.327231,8.6,119.6,0.39
2026-03-30T11:55:05.332264,8.6,119.7,0.389
2026-03-30T11:55:06.341265,8.6,119.6,0.392
2026-03-30T11:55:07.329828,8.6,119.6,0.389
2026-03-30T11:55:08.339304,8.6,119.6,0.391
2026-03-30T11:55:09.329272,8.6,119.6,0.39
2026-03-30T11:55:10.335129,8.6,119.6,0.391
2026-03-30T11:55:11.328911,8.6,119.7,0.39
2026-03-30T11:55:12.337642,8.6,119.6,0.39
2026-03-30T11:55:13.326597,8.6,119.5,0.39
2026-03-30T11:55:14.333061,8.6,119.6,0.39
2026-03-30T11:55:15.326809,8.6,119.7,0.391
2026-03-30T11:55:16.334512,8.6,119.6,0.39
2026-03-30T11:55:17.335622,8.6,119.6,0.391
2026-03-30T11:55:18.329949,8.6,119.5,0.39
2026-03-30T11:55:19.336690,8.6,119.6,0.389
2026-03-30T11:55:20.324970,8.6,119.6,0.389
2026-03-30T11:55:21.333121,8.6,119.6,0.39
2026-03-30T11:55:22.325782,8.6,119.6,0.391
2026-03-30T11:55:23.330303,8.6,119.6,0.389
