,Device,frequency_component,operating_frequency_mhz,Algorithm,Threads,variant,kernel_runtime,roi_runtime,run_power_w,energy_j,edp_j_s,kernel_runtime_std,roi_runtime_std,run_power_w_std,energy_j_std,edp_j_s_std
0,JetsonOrinNanoSuper,GPU,408.0,BFS,,CUDA→ONS,320.093639,393.43000614285717,12.527857142857142,4.010067778325357,1.2836231581554058,1.7328747009463605,1.7909786117396258,0.015574322579474241,0.017684348461858672,0.012580394325432223
1,JetsonOrinNanoSuper,GPU,408.0,BFS,,clvk→ONS,361.8991375,566.7384993333334,11.359935897435898,4.111152809690705,1.4878236790276755,0.19762127142567462,1.250073827844368,0.03248615241328708,0.012693540082208058,0.005041686071814217
2,JetsonOrinNanoSuper,GPU,408.0,FFT,,CUDA→ONS,0.10724528571428571,0.32974699999999996,9.940336134453782,0.0010660580924369747,1.1433048530194369e-07,0.00020627466663465885,0.0063225203571571536,0.052851620487014334,6.785082717556751e-06,8.862763387431065e-10
3,JetsonOrinNanoSuper,GPU,408.0,FFT,,clvk→ONS,0.05213316666666667,2.890515333333333,9.714285714285714,0.0005064362797619048,2.6402151073891666e-08,6.511349066565485e-05,0.06929046551630791,0.010101525445522508,6.624164214421765e-07,6.169961486736671e-11
4,JetsonOrinNanoSuper,GPU,408.0,KMeans,,CUDA→ONS,792.1912464285714,810.9166471428572,11.80765306122449,9.353917739593879,7.410101840510999,1.0608639656754497,1.082317820751159,0.01358842473159006,0.015388792914493903,0.020539030855097312
5,JetsonOrinNanoSuper,GPU,408.0,KMeans,,clvk→ONS,736.1246056666668,782.9192503333334,10.822023809523811,7.966351390276191,5.864256603066546,1.9479022594899897,1.952478761778549,0.021831528720144138,0.023987530310161084,0.031102366141434013
6,JetsonOrinNanoSuper,GPU,408.0,SPMV,1.0,CUDA→ONS,9.369628285714287,37.830562,13.033395176252318,0.12211808680139145,0.001144201265936014,0.0009663020083950723,0.06684771300999437,0.03334919186807902,0.00032116142021774416,3.092973984946203e-06
7,JetsonOrinNanoSuper,GPU,408.0,SPMV,,clvk→ONS,12.027688500000002,94.19068399999999,10.531818181818181,0.12667346954621211,0.0015235945489465144,0.023924219926676534,0.24525013805582185,0.011853095282187278,0.0003103222325479064,6.575775337604746e-06
8,JetsonOrinNanoSuper,GPU,408.0,SRAD,,CUDA→ONS,17.81706133333333,32.262504,12.026785714285714,0.21428177750119048,0.003817881703449079,0.03700371634669627,0.0714928244511304,0.02267224321157667,0.0005072030049806803,1.5404479422325136e-05
9,JetsonOrinNanoSuper,GPU,408.0,SRAD,,clvk→ONS,11.276156833333333,18.94626033333333,13.913333333333334,0.15688939542666666,0.0017691403973161995,0.04705024492355736,0.2794479424734886,0.03559026084010435,0.0008763127795210364,1.6856036611005398e-05
10,JetsonOrinNanoSuper,GPU,510.0,BFS,,CUDA→ONS,260.9547738333333,333.8550221666667,13.23627450980392,3.4540601150019605,0.901360294483213,0.9112074172558933,0.9268068826359562,0.053644564785507415,0.01634265634486857,0.006546090612734364
11,JetsonOrinNanoSuper,GPU,510.0,BFS,,clvk→ONS,297.77465766666666,503.4363405,11.693840579710146,3.482130061048189,1.0368910047049287,0.27061098410423867,0.6145619770648804,0.006058421729297856,0.004359146535420748,0.0022033680996616
12,JetsonOrinNanoSuper,GPU,510.0,FFT,,CUDA→ONS,0.08939649999999999,0.2961821666666667,10.150980392156862,0.0009074628161764705,8.112593317497892e-08,0.0004700752067488785,0.007842111205961459,0.026350490082090703,5.471139631580545e-06,8.939515657737179e-10
13,JetsonOrinNanoSuper,GPU,510.0,FFT,,clvk→ONS,0.043596666666666666,2.7713291666666664,9.866071428571429,0.00043013192142857146,1.875520033244762e-08,0.00057333329457364,0.11111099084504042,0.019788421681706587,6.084077566981369e-06,5.118504200061378e-10
14,JetsonOrinNanoSuper,GPU,510.0,KMeans,,CUDA→ONS,735.6069495,753.3775415,12.051136363636365,8.864900557765639,6.521090955354512,0.883786580525602,0.9182762688238948,0.027962632885965732,0.023579037145640244,0.02225622434945249
15,JetsonOrinNanoSuper,GPU,510.0,KMeans,,clvk→ONS,704.3475121666667,751.0615381666667,11.018722943722944,7.761008364841612,5.466448016951322,0.5008919338106248,0.47293794999528793,0.05223527199949603,0.03676253708184426,0.02644856996993893
16,JetsonOrinNanoSuper,GPU,510.0,SPMV,1.0,CUDA→ONS,7.586507666666667,36.047866666666664,13.202321428571429,0.10015949183148809,0.0007598606302412903,0.001813995553100028,0.06015877416858832,0.046491029417798244,0.0003463029949219281,2.5904860108306207e-06
17,JetsonOrinNanoSuper,GPU,510.0,SPMV,,clvk→ONS,9.748387333333334,91.717315,10.664393939393937,0.10396075071969696,0.0010134522193528488,0.012989805705501355,0.37664695734441106,0.02866400782083024,0.00035268422098371177,4.45983128917577e-06
18,JetsonOrinNanoSuper,GPU,510.0,SRAD,,CUDA→ONS,14.298057,25.858367333333334,12.836363636363636,0.18353470498333335,0.002624188847654895,0.01990058371003223,0.038816410471173145,0.02619065507434096,0.00022253726089087255,4.2736609801306326e-06
19,JetsonOrinNanoSuper,GPU,510.0,SRAD,,clvk→ONS,9.2573325,15.368775666666666,14.973333333333334,0.138613022675,0.0012831945926803263,0.02641073874582082,0.15892012721951382,0.02065591117977425,0.0003983895931171144,7.145598575048485e-06
20,JetsonOrinNanoSuper,GPU,612.0,BFS,,CUDA→ONS,221.99840483333332,294.6866265,13.758333333333333,3.0542653274931375,0.6780329869690322,0.6519986041102931,0.6903394341411501,0.19657461728686254,0.03893963775716121,0.007975661361461816
21,JetsonOrinNanoSuper,GPU,612.0,BFS,,clvk→ONS,255.33170166666665,462.1704511666667,12.006666666666666,3.0656809658383337,0.782765420877832,0.1756021070507572,0.7513672270551781,0.021428174599500128,0.0047026238137413846,0.0012291673686599999
22,JetsonOrinNanoSuper,GPU,612.0,FFT,,CUDA→ONS,0.07835183333333333,0.2724801666666667,10.366071428571429,0.0008122099291666667,6.364074837905179e-08,0.00046771248290660756,0.006206692208146491,0.04045342497041221,7.174607334616342e-06,9.267100736595721e-10
23,JetsonOrinNanoSuper,GPU,612.0,FFT,,clvk→ONS,0.037850833333333334,1.8405375,9.986742424242424,0.00037800625243506494,1.4308030825570617e-08,0.0001508302577955324,0.879338774712852,0.0074814006365354945,1.4509749116869347e-06,1.1154318557620344e-10
24,JetsonOrinNanoSuper,GPU,612.0,KMeans,,CUDA→ONS,700.0700728333333,717.2263256666666,12.218181818181819,8.55357703366212,5.988109900750971,1.0438131313300543,1.06080588522157,0.013173978860172951,0.0107801282002725,0.015220862437895307
25,JetsonOrinNanoSuper,GPU,612.0,KMeans,,clvk→ONS,684.5534481666667,731.3492030000001,11.210606060606061,7.674267299879546,5.253453321387575,0.40370181086462004,0.5217119087914336,0.04959894249294857,0.03641265020871774,0.026861896178981357
26,JetsonOrinNanoSuper,GPU,612.0,SPMV,1.0,CUDA→ONS,6.431017166666667,34.92627916666667,13.339231601731603,0.08578487957148268,0.0005516844127676401,0.001994227009812609,0.0599365875819354,0.05615904000941775,0.0003766575602472708,2.529622085287628e-06
27,JetsonOrinNanoSuper,GPU,612.0,SPMV,,clvk→ONS,8.301499999999999,90.21058466666666,10.756060606060606,0.08929140612045454,0.0007412549669272693,0.017088084234343246,0.3465992011841154,0.011378777791222925,0.00018982831262126762,2.998685160360781e-06
28,JetsonOrinNanoSuper,GPU,612.0,SRAD,,CUDA→ONS,12.026718666666667,21.692764333333333,13.631818181818181,0.1639462042651515,0.0019717687043980543,0.05295871473390072,0.10205248107648644,0.015212000482437609,0.0007868168069476329,1.806332734186035e-05
29,JetsonOrinNanoSuper,GPU,612.0,SRAD,,clvk→ONS,8.030125,13.321159166666666,15.856666666666667,0.12733198522333333,0.0010225333785393216,0.05057145978909416,0.09012771499914228,0.027325202042559085,0.0009947033438031199,1.4439711772014719e-05
30,JetsonOrinNanoSuper,GPU,714.0,BFS,,CUDA→ONS,193.74362383333334,266.57669500000003,14.242261904761904,2.759390944468452,0.5346296471845088,0.7586155077332406,0.7112771710080539,0.193852151039356,0.04268560790190235,0.009620374042170863
31,JetsonOrinNanoSuper,GPU,714.0,BFS,,clvk→ONS,226.45722166666667,432.92829716666665,12.220416666666667,2.767402056860417,0.6266985092199138,0.14900122959850035,0.2937148417437612,0.01029765345438718,0.0034277772323028735,0.0011253162377659709
32,JetsonOrinNanoSuper,GPU,714.0,FFT,,CUDA→ONS,0.06915600000000001,0.2480455,10.548809523809524,0.0007295151517857143,5.0451317346524406e-08,0.0003109450112158067,0.004239911166522233,0.024187476379428276,4.066170459871744e-06,4.984812571504675e-10
33,JetsonOrinNanoSuper,GPU,714.0,FFT,,clvk→ONS,0.03471083333333334,2.2586321666666667,10.111904761904762,0.000350996641017316,1.2184523462131385e-08,0.000344078721612752,0.23784500961711763,0.020196440684877682,3.9998047427357725e-06,2.5963329998773894e-10
34,JetsonOrinNanoSuper,GPU,714.0,KMeans,,CUDA→ONS,676.4034353333333,693.1804866666666,12.378030303030306,8.372537157929546,5.663217169347231,0.8641044313661571,0.8838395927718251,0.01636784457673371,0.011625348004821756,0.013120827950716774
