timestamp,watts,volts,amps
2026-03-23T19:01:48.873695,9.1,120.4,0.391
2026-03-23T19:01:49.863629,9.1,120.4,0.395
2026-03-23T19:01:50.871906,9.1,120.4,0.392
2026-03-23T19:01:51.865628,9.1,120.4,0.391
2026-03-23T19:01:52.871976,9.1,120.4,0.39
2026-03-23T19:01:53.866214,9.1,120.4,0.394
2026-03-23T19:01:54.870215,9.2,120.4,0.391
2026-03-23T19:01:55.865482,9.1,120.3,0.391
2026-03-23T19:01:56.870751,9.1,120.4,0.391
2026-03-23T19:01:57.864241,9.1,120.4,0.391
2026-03-23T19:01:58.872451,9.1,120.4,0.391
2026-03-23T19:01:59.862773,9.1,120.5,0.395
