timestamp,watts,volts,amps
2026-03-16T18:03:30.472820,3.5,120.3,0.376
2026-03-16T18:03:30.476495,3.8,120.4,0.371
2026-03-16T18:03:30.480685,3.7,120.4,0.372
2026-03-16T18:03:30.485311,3.7,120.4,0.371
2026-03-16T18:03:30.489478,3.8,120.3,0.366
2026-03-16T18:03:30.493612,3.6,120.3,0.367
2026-03-16T18:03:30.497844,3.4,120.4,0.368
2026-03-16T18:03:30.501981,3.3,120.4,0.368
2026-03-16T18:03:30.506053,3.2,120.3,0.371
2026-03-16T18:03:30.510227,3.2,120.4,0.37
2026-03-16T18:03:30.514757,3.2,120.4,0.372
2026-03-16T18:03:30.519114,3.2,120.4,0.37
2026-03-16T18:03:30.523420,3.2,120.3,0.371
2026-03-16T18:03:30.527761,3.3,120.4,0.37
2026-03-16T18:03:30.532073,3.3,120.3,0.368
2026-03-16T18:03:30.536166,3.2,120.3,0.368
2026-03-16T18:03:30.540339,3.2,120.4,0.377
2026-03-16T18:03:30.544514,3.3,120.4,0.37
2026-03-16T18:03:30.548191,3.3,120.3,0.373
2026-03-16T18:03:30.549646,3.5,120.4,0.388
2026-03-16T18:03:30.551097,4.0,120.4,0.383
2026-03-16T18:03:30.552564,4.4,120.3,0.386
2026-03-16T18:03:30.554028,4.7,120.3,0.385
2026-03-16T18:03:30.555501,4.9,120.3,0.389
2026-03-16T18:03:30.557001,5.2,120.3,0.382
2026-03-16T18:03:30.558466,5.4,120.3,0.371
2026-03-16T18:03:30.560639,5.4,120.3,0.373
2026-03-16T18:03:30.564489,5.2,120.3,0.372
2026-03-16T18:03:30.568512,5.1,120.3,0.371
2026-03-16T18:03:30.572468,5.0,120.3,0.371
2026-03-16T18:03:30.576907,4.8,120.3,0.377
2026-03-16T18:03:30.581084,4.8,120.3,0.379
2026-03-16T18:03:30.585110,4.9,120.3,0.373
2026-03-16T18:03:30.589231,4.9,120.3,0.385
2026-03-16T18:03:30.593598,5.1,120.3,0.38
2026-03-16T18:03:30.597882,5.3,120.3,0.372
2026-03-16T18:03:30.602061,5.1,120.4,0.371
2026-03-16T18:03:30.606398,4.9,120.4,0.371
2026-03-16T18:03:30.607683,4.7,120.4,0.372
2026-03-16T18:03:30.724752,3.5,120.3,0.371
2026-03-16T18:03:31.731700,3.5,120.3,0.37
2026-03-16T18:03:32.738581,3.5,120.3,0.371
2026-03-16T18:03:33.728434,3.5,120.3,0.37
2026-03-16T18:03:34.735660,3.5,120.3,0.371
2026-03-16T18:03:35.726156,3.5,120.4,0.37
2026-03-16T18:03:36.731693,3.5,120.4,0.37
2026-03-16T18:03:37.725552,3.5,120.4,0.37
2026-03-16T18:03:38.732476,3.5,120.3,0.37
2026-03-16T18:03:39.722732,3.5,120.3,0.371
2026-03-16T18:03:40.728959,3.5,120.3,0.369
2026-03-16T18:03:41.723183,3.5,120.4,0.37
2026-03-16T18:03:42.727420,3.5,120.4,0.37
2026-03-16T18:03:43.721433,3.5,120.3,0.369
2026-03-16T18:03:44.727493,3.5,120.3,0.371
2026-03-16T18:03:45.721686,3.4,120.3,0.369
2026-03-16T18:03:46.728828,3.4,120.4,0.371
2026-03-16T18:03:47.719340,3.4,120.4,0.37
2026-03-16T18:03:48.725853,3.5,120.4,0.371
2026-03-16T18:03:49.718896,3.5,120.3,0.37
2026-03-16T18:03:50.724105,3.5,120.3,0.37
