timestamp,watts,volts,amps
2026-03-30T11:47:20.020659,8.6,120.2,0.39
2026-03-30T11:47:20.021937,8.6,120.1,0.388
2026-03-30T11:47:20.022240,8.6,120.3,0.0
2026-03-30T11:47:20.495528,8.6,120.2,0.389
2026-03-30T11:47:21.488965,8.6,120.1,0.39
2026-03-30T11:47:22.498299,8.6,120.1,0.39
2026-03-30T11:47:23.488308,8.6,120.2,0.389
2026-03-30T11:47:24.494017,8.6,120.1,0.389
2026-03-30T11:47:25.487367,8.6,120.1,0.389
2026-03-30T11:47:26.493017,8.6,120.0,0.39
2026-03-30T11:47:27.502102,8.6,119.9,0.389
2026-03-30T11:47:28.491576,8.7,120.0,0.389
2026-03-30T11:47:29.499196,8.6,120.0,0.39
2026-03-30T11:47:30.489562,8.6,119.9,0.389
2026-03-30T11:47:31.497732,8.6,119.9,0.389
2026-03-30T11:47:32.487844,8.6,120.0,0.389
2026-03-30T11:47:33.494447,8.6,120.0,0.389
2026-03-30T11:47:34.487616,8.6,120.0,0.39
2026-03-30T11:47:35.492443,8.6,120.0,0.391
2026-03-30T11:47:36.502360,8.7,119.9,0.392
2026-03-30T11:47:37.491388,8.8,120.0,0.392
2026-03-30T11:47:38.499944,8.8,120.0,0.392
2026-03-30T11:47:39.490304,8.8,120.0,0.39
2026-03-30T11:47:40.495660,8.8,120.1,0.391
2026-03-30T11:47:41.485051,8.8,120.2,0.391
2026-03-30T11:47:42.494605,8.8,120.3,0.388
2026-03-30T11:47:43.487878,8.7,120.2,0.389
2026-03-30T11:47:44.493037,8.7,120.2,0.391
2026-03-30T11:47:45.501544,8.7,120.2,0.39
2026-03-30T11:47:46.490955,8.7,120.1,0.39
2026-03-30T11:47:47.497501,8.7,120.2,0.39
2026-03-30T11:47:48.489211,8.7,120.2,0.389
2026-03-30T11:47:49.499181,8.7,120.2,0.39
2026-03-30T11:47:50.487753,8.6,120.2,0.39
2026-03-30T11:47:51.496405,8.7,120.1,0.389
2026-03-30T11:47:52.487402,8.6,120.1,0.389
2026-03-30T11:47:53.492074,8.6,120.2,0.389
2026-03-30T11:47:54.481784,8.6,120.2,0.39
2026-03-30T11:47:55.489667,8.6,120.2,0.39
2026-03-30T11:47:56.495244,8.6,120.2,0.39
2026-03-30T11:47:57.489612,8.6,120.2,0.39
2026-03-30T11:47:58.496684,8.6,120.2,0.389
2026-03-30T11:47:59.486300,8.6,120.2,0.39
2026-03-30T11:48:00.493018,8.6,120.3,0.39
2026-03-30T11:48:01.485174,8.6,120.1,0.389
2026-03-30T11:48:02.492489,8.6,120.2,0.391
2026-03-30T11:48:03.497203,8.6,120.3,0.39
2026-03-30T11:48:04.488353,8.6,120.2,0.389
2026-03-30T11:48:05.479136,8.6,120.2,0.389
2026-03-30T11:48:06.486855,8.6,120.1,0.389
2026-03-30T11:48:07.491689,8.6,120.2,0.39
2026-03-30T11:48:08.484751,8.6,120.2,0.39
2026-03-30T11:48:09.493121,8.6,120.3,0.388
2026-03-30T11:48:10.483797,8.6,120.3,0.389
2026-03-30T11:48:11.488939,8.6,120.3,0.389
2026-03-30T11:48:12.483977,8.6,120.4,0.39
2026-03-30T11:48:13.488220,8.6,120.3,0.389
2026-03-30T11:48:14.494371,8.6,120.3,0.389
2026-03-30T11:48:15.483966,8.6,120.3,0.388
2026-03-30T11:48:16.478981,8.6,120.3,0.388
