timestamp,watts,volts,amps
2026-03-26T23:28:28.276173,8.2,120.0,0.387
2026-03-26T23:28:28.277516,8.2,120.1,0.387
2026-03-26T23:28:28.278611,8.2,120.0,0.387
2026-03-26T23:28:28.446755,8.1,120.0,0.386
2026-03-26T23:28:29.434847,8.1,120.0,0.385
2026-03-26T23:28:30.441853,8.1,120.0,0.388
2026-03-26T23:28:31.436705,8.1,120.0,0.388
2026-03-26T23:28:32.445256,8.1,120.1,0.386
2026-03-26T23:28:33.435189,8.1,120.1,0.386
2026-03-26T23:28:34.440734,8.2,120.1,0.385
2026-03-26T23:28:35.434154,8.1,120.0,0.386
2026-03-26T23:28:36.443458,8.1,120.0,0.386
2026-03-26T23:28:37.432450,8.2,120.0,0.386
2026-03-26T23:28:38.440501,8.1,120.0,0.386
2026-03-26T23:28:39.432007,8.1,120.0,0.386
2026-03-26T23:28:40.436667,8.1,120.0,0.389
2026-03-26T23:28:41.429999,8.1,120.0,0.386
2026-03-26T23:28:42.439088,8.1,119.9,0.386
2026-03-26T23:28:43.443172,8.1,120.0,0.386
2026-03-26T23:28:44.433614,8.1,120.0,0.385
2026-03-26T23:28:45.426489,8.1,120.0,0.385
2026-03-26T23:28:46.432493,8.1,120.0,0.385
2026-03-26T23:28:47.425803,8.1,120.0,0.386
2026-03-26T23:28:48.432433,8.1,120.1,0.386
2026-03-26T23:28:49.425953,8.1,120.1,0.386
2026-03-26T23:28:50.430462,8.1,120.0,0.386
2026-03-26T23:28:51.424591,8.1,119.9,0.386
2026-03-26T23:28:52.431174,8.1,120.0,0.386
2026-03-26T23:28:53.424325,8.1,120.0,0.387
2026-03-26T23:28:54.429359,8.1,120.0,0.386
2026-03-26T23:28:55.423891,8.1,120.0,0.385
2026-03-26T23:28:56.430178,8.1,119.8,0.388
2026-03-26T23:28:57.419259,8.1,119.9,0.387
2026-03-26T23:28:58.428007,8.1,119.9,0.385
2026-03-26T23:28:59.421859,8.1,120.0,0.386
2026-03-26T23:29:00.429196,8.1,119.9,0.385
2026-03-26T23:29:01.433378,8.1,120.0,0.385
2026-03-26T23:29:02.424414,8.1,119.9,0.386
2026-03-26T23:29:03.431547,8.1,119.9,0.386
2026-03-26T23:29:04.421615,8.1,120.0,0.386
2026-03-26T23:29:05.430458,8.1,120.0,0.385
2026-03-26T23:29:06.420439,8.1,119.9,0.387
2026-03-26T23:29:07.429041,8.1,119.9,0.385
2026-03-26T23:29:08.417925,8.1,120.0,0.385
2026-03-26T23:29:09.424227,8.1,120.0,0.385
2026-03-26T23:29:10.417627,8.1,119.9,0.385
2026-03-26T23:29:11.426332,8.1,119.9,0.388
2026-03-26T23:29:12.416296,8.2,120.0,0.386
2026-03-26T23:29:13.422257,8.2,119.9,0.386
2026-03-26T23:29:14.415773,8.2,119.9,0.385
2026-03-26T23:29:15.420434,8.2,119.9,0.386
2026-03-26T23:29:16.415308,8.1,119.9,0.386
2026-03-26T23:29:17.421520,8.1,120.0,0.386
2026-03-26T23:29:18.413762,8.1,120.0,0.386
2026-03-26T23:29:19.419113,8.1,119.9,0.386
2026-03-26T23:29:20.412896,8.2,119.9,0.386
2026-03-26T23:29:21.419892,8.2,120.0,0.387
2026-03-26T23:29:22.410612,8.2,120.0,0.389
2026-03-26T23:29:23.418035,8.2,119.9,0.386
2026-03-26T23:29:24.412418,8.2,119.9,0.386
