Device,algorithm_family,dev_backend,cpu_freq_mhz,mflops_per_w,throughput,run_power_w,conv_avg_ms,mflops_per_w_std,throughput_std,run_power_w_std,conv_avg_ms_std
RaspberryPiComputeModule5,OLA,RPi-fftw,1600.0,3582.24320769246,541120.920102195,4.2894736842105265,9.476374666666667,15.062842248703316,1017.6637313541545,0.01883004612631382,0.017805919989336845
RaspberryPiComputeModule5,OLA,RPi-fftw,1700.0,3798.118467692006,574427.855257613,4.294736842105263,8.927066166666668,30.906976741890848,3077.1656811211787,0.020519567041702862,0.047869637911380686
RaspberryPiComputeModule5,OLA,RPi-fftw,1800.0,3950.537292868735,608086.3038705298,4.371052631578947,8.432749666666666,27.460320616598157,791.7263345024602,0.032230128194515616,0.010997581418960201
RaspberryPiComputeModule5,OLA,RPi-fftw,1900.0,4041.720563504304,637866.4481249038,4.481578947368421,8.039077,21.57794673328714,1681.0858757315555,0.023478640024416294,0.021113538784391588
RaspberryPiComputeModule5,OLA,RPi-fftw,2000.0,4224.291293576666,668125.5140598683,4.491363022941971,7.67508,36.94548769131033,3446.471948107979,0.026212399411603724,0.039633839077233154
RaspberryPiComputeModule5,OLA,RPi-fftw,2100.0,4360.114957037156,699577.635356898,4.556410256410256,7.329885,39.9344900959473,1558.0894250034703,0.036944438265287934,0.016361517093472652
RaspberryPiComputeModule5,OLA,RPi-fftw,2200.0,4475.991183582742,730729.1099621578,4.636004273504273,7.017332333333333,34.61641112082069,1660.2103002100391,0.03090891548279545,0.01591376075811913
RaspberryPiComputeModule5,OLA,RPi-fftw,2300.0,4606.9420760034,760423.8657188829,4.687179487179487,6.743274333333333,25.770556093142623,1349.6194442146762,0.02416250049105634,0.011925048858041012
RaspberryPiComputeModule5,OLA,RPi-fftw,2400.0,4693.351659711342,789531.3928799188,4.776923076923077,6.4947696666666666,22.821506668790352,2848.718700260694,0.012871692715908607,0.02334371263245563
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,1600.0,654.4260319555847,143614.63953390453,5.374603174603175,1.7814907777777778,9.084593573481758,1868.7227999995641,0.01992047682223968,0.023403918570283126
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,1700.0,676.0363600002323,149191.02195781458,5.404761904761905,1.7148823333333334,9.722674257229764,2088.018300014128,0.010101525445522203,0.02415252008590406
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,1800.0,704.6346572930811,155000.5405607378,5.387301587301588,1.6505376666666667,9.973156157833122,2256.6422412801253,0.021951296326887942,0.024098063630715275
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,1900.0,723.701926543481,160699.28607036642,5.438095238095238,1.5921414444444446,10.535343020671121,2727.171734229644,0.03113499245386122,0.027264228973652983
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,2100.0,755.3165530061937,169625.24719726527,5.5,1.5088451111111112,19.811577333155256,4449.185826961009,0.0,0.04018079747978018
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,2200.0,748.3577883681919,171456.65158726086,5.611111111111111,1.4920078888888888,8.027730329091526,2001.0828935895893,0.03333333333333366,0.017421986952156483
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,2300.0,753.875349841308,175461.13602139792,5.699999999999999,1.458612,16.588919619723917,4294.310071560973,0.04999999999999988,0.03625796583855741
RaspberryPiComputeModule5,UPF-OS,RPi-fftw,2400.0,761.1138231777537,177486.52851175243,5.711111111111111,1.4414246666666668,11.959376185886883,2867.656699562058,0.033333333333333284,0.023715967490279686
