Device,algorithm_family,dev_backend,gpu_freq_mhz,mflops_per_w,throughput,run_power_w,conv_avg_ms,mflops_per_w_std,throughput_std,run_power_w_std,conv_avg_ms_std
JetsonOrinNanoSuper,OLA,nano-clfft,306.0,2367.6409552251175,806577.3865773085,9.673684210526316,6.363019,13.125356739320116,3821.0262387304797,0.02804823704100007,0.028709876370336652
JetsonOrinNanoSuper,OLA,nano-clfft,408.0,2513.8266238437986,874526.388344055,9.878654970760236,5.867461333333334,8.643644834451548,2460.0417953816414,0.020976959517874337,0.020472668010463886
JetsonOrinNanoSuper,OLA,nano-clfft,510.0,2611.7257692636017,922436.9088340519,10.029202279202279,5.547620333333334,11.032234272170625,5253.835216592059,0.026179065359962502,0.03308354668814469
JetsonOrinNanoSuper,OLA,nano-clfft,612.0,2655.734350857801,951546.8796467013,10.174358974358974,5.3947486666666675,15.755483142949274,4591.805956598776,0.01925639318514825,0.03688456988317308
JetsonOrinNanoSuper,OLA,nano-clfft,714.0,2689.9799443203688,976819.2688306425,10.311538461538463,5.238182,9.924612881606624,4720.6368465101095,0.02826334318596011,0.042859210258706204
JetsonOrinNanoSuper,OLA,nano-clfft,816.0,2711.892500291619,993836.2151971337,10.406410256410258,5.164571,11.559041979307601,4362.8378282214035,0.007563016001923364,0.015457319651220191
JetsonOrinNanoSuper,OLA,nano-clfft,918.0,2645.901927229429,1006801.4616388105,10.805128205128206,5.098241666666667,9.073104367158619,2557.3526097731365,0.010509693093292595,0.022766730267358846
JetsonOrinNanoSuper,OLA,nano-clfft,1020.0,2569.1781092665287,1021802.3538059276,11.293589743589743,5.027733333333333,14.360669713608312,5541.920050629332,0.014114214302074915,0.03965747519278908
JetsonOrinNanoSuper,OLA,nano-cufft,306.0,5273.869795707644,1932985.6495387626,10.407894736842104,2.6536588333333335,18.632481900444823,5845.577585133369,0.051217855266116344,0.00902485134318933
JetsonOrinNanoSuper,OLA,nano-cufft,408.0,5939.460466153301,2249837.729975969,10.756335282651072,2.280756,14.347415497538318,4741.056686092115,0.02749077131813947,0.005574545506137606
JetsonOrinNanoSuper,OLA,nano-cufft,510.0,6367.4304579333775,2496306.3006431386,11.132523616734142,2.054826333333333,12.783916685393635,4830.814184863161,0.02886121963746427,0.004253027047488073
JetsonOrinNanoSuper,OLA,nano-cufft,612.0,6653.974807721701,2669525.8119239905,11.392307692307691,1.9228508333333334,22.103965744810807,10155.833559808629,0.02175713172881784,0.0067114035020007
JetsonOrinNanoSuper,OLA,nano-cufft,714.0,6832.991784791524,2789786.362921749,11.59358974358974,1.839116,41.811014139473976,18195.00985303243,0.008992655341922265,0.013324773003694989
JetsonOrinNanoSuper,OLA,nano-cufft,816.0,6927.226683198117,2868107.145495717,11.756944444444445,1.786454,13.398915981603393,6728.749524344951,0.009442172059069345,0.00394619832243645
JetsonOrinNanoSuper,OLA,nano-cufft,918.0,6827.948181335293,2936590.85997469,12.212820512820512,1.7460510000000002,27.346668061131968,4663.936912711931,0.036298129988075446,0.003724756797429908
JetsonOrinNanoSuper,OLA,nano-cufft,1020.0,6667.817411836989,2976736.2727435064,12.676923076923076,1.7257473333333333,23.317408687149694,14100.487040774737,0.017541160386140044,0.0066940178268859105
JetsonOrinNanoSuper,UPF-OS,nano-clfft,306.0,729.3124009337588,270624.22692492977,9.087719298245615,0.9523466666666667,4.022399383173126,1482.899941358191,0.0161936572059148,0.0018077854592474963
JetsonOrinNanoSuper,UPF-OS,nano-clfft,408.0,774.0604522141044,292239.36544262455,9.246153846153845,0.8860388333333334,6.963596423650816,3134.8939883128787,0.032996323983888035,0.015594340106803717
