,frequency_component,operating_frequency_mhz,Algorithm,test_name,Threads,variant,kernel_runtime,roi_runtime,run_power_w,energy_j,edp_j_s,kernel_runtime_std,roi_runtime_std,run_power_w_std,energy_j_std,edp_j_s_std
0,GPU,300.0,BFS,,,OpenCL,1332.954338,1383.556648,3.3918506493506495,4.52118338481935,6.02653498914974,0.9271389673524485,1.3340052856349482,0.0023648610118893396,0.006006504458043871,0.012070267079441697
1,GPU,300.0,BFS,,,clvk,1301.09474725,1345.5576927500001,3.417590909090909,4.446601954249318,5.78567903421764,9.646946678661642,9.695751748044007,0.0018264961413235966,0.031653281184358034,0.08411858096710878
2,GPU,300.0,FFT,,,OpenCL,0.1852755,0.63905625,3.2701360887096773,0.0006058764309475807,1.122557036882189e-07,0.0008038219122832238,0.0026184288386995507,0.006226311660340553,2.9597097209789472e-06,1.0160138770360766e-09
3,GPU,300.0,FFT,,,clvk,0.154187,0.3930085,3.2737147177419352,0.0005047624552167338,7.782898806664931e-08,0.0007702185836933936,0.026411241161041016,0.011020493679799487,2.6103290805766107e-06,7.485726973358768e-10
4,GPU,300.0,KMeans,,,OpenCL,2008.73832225,2033.40766875,3.83984375,7.713236547688281,15.493867036922323,0.9719505840107394,0.9485079845446234,0.007384086916019612,0.011672076598458963,0.01801624519550288
5,GPU,300.0,KMeans,,,clvk,2192.53086725,2218.91859425,3.9103207236842104,8.573492056492515,18.797639592341397,1.7126492751771638,1.6963519187389906,0.007010741031743579,0.011187167307363478,0.022306536842079776
6,GPU,300.0,SPMV,,,OpenCL,134.898121,154.73585925,4.29296875,0.5791100635460937,0.07812071250044131,0.30862167063683965,0.26785780654715907,0.021856390894122175,0.002295519914894683,0.0003114329940305128
7,GPU,300.0,SPMV,,,clvk,124.72802300000001,152.11307399999998,4.28671875,0.5346973014304688,0.06670449495901422,1.7486646208008714,1.7629447526083348,0.025307355444283898,0.009976494161361586,0.0021766041733754225
8,GPU,300.0,SRAD,,,OpenCL,48.77237425,73.22188325,3.5049615384615382,0.17094518984934615,0.008337403135003772,0.04584871293995087,0.12172629338362471,0.005043987965455568,0.0001948123339607976,1.2637649227568435e-05
9,GPU,300.0,SRAD,,,clvk,46.2547215,68.527623,3.4583846153846154,0.15996588762746156,0.007399244622305208,0.19699888873713622,0.43148601745826615,0.009604814703222364,0.0005916601135801864,5.538601287162269e-05
10,GPU,400.0,BFS,,,OpenCL,1062.01672375,1112.62276125,3.6034883720930235,3.8269560465645354,4.064327154544569,4.091340972328385,4.302124312901566,0.0030023126714788717,0.011709622233831655,0.028054801619654905
11,GPU,400.0,BFS,,,clvk,1032.3248644999999,1076.6542845,3.6261363636363635,3.743322754115341,3.864546884018872,9.597349587997059,9.605047938674042,0.004731059089695814,0.030929901392655085,0.0677704142119029
12,GPU,400.0,FFT,,,OpenCL,0.1452165,0.543328,3.460576923076923,0.0005025351653846154,7.297703088258846e-08,0.0003393960321905166,0.0031776243746967033,0.00908810697356295,2.4918697686843334e-06,5.328026407101687e-10
13,GPU,400.0,FFT,,,clvk,0.121933,1604492680904.4705,3.4480342741935486,0.00042043067615927414,5.126601339783553e-08,0.0007502528462680741,2973566651230.7476,0.005897249218384569,2.9841920388990766e-06,6.74996116695376e-10
14,GPU,400.0,KMeans,,,OpenCL,1706.8624,1731.53484625,4.0734375,6.952794669998438,11.867464190538914,1.2665075515219129,1.3706699438436032,0.009716019846967733,0.015894126008200872,0.028727238292817328
15,GPU,400.0,KMeans,,,clvk,1845.57764075,1871.4133662499999,4.15859375,7.675004144998438,14.164817551507866,1.5971804274407213,1.7275048647801083,0.006929236820651085,0.011668812350654506,0.025916914431271556
16,GPU,400.0,SPMV,,,OpenCL,118.93418199999999,138.89101175,4.551870265151515,0.5413731626890862,0.06438838800025615,0.41602468886914595,0.42844512483893676,0.00661360770861108,0.0021173097909021918,0.00046806865515795375
17,GPU,400.0,SPMV,,,clvk,108.25870225,134.118042,4.55,0.4925847573799716,0.053346235461275954,2.346831689180883,2.5733160650442106,0.010051567757633146,0.011206619331659931,0.002381949649471259
