timestamp,watts,volts,amps
2026-03-15T21:30:16.195112,7.4,120.7,0.387
2026-03-15T21:30:17.181075,7.4,120.7,0.385
2026-03-15T21:30:18.187097,7.4,120.7,0.385
2026-03-15T21:30:19.179381,7.4,120.6,0.386
2026-03-15T21:30:20.187154,7.4,120.7,0.388
2026-03-15T21:30:21.181054,7.4,120.6,0.387
2026-03-15T21:30:22.185630,7.5,120.7,0.387
2026-03-15T21:30:23.179886,7.5,120.6,0.387
2026-03-15T21:30:24.185323,7.5,120.7,0.386
2026-03-15T21:30:25.179587,7.5,120.7,0.386
2026-03-15T21:30:26.185571,7.5,120.7,0.387
2026-03-15T21:30:27.176545,7.5,120.7,0.386
2026-03-15T21:30:28.183867,7.6,120.6,0.386
2026-03-15T21:30:29.192516,7.5,120.7,0.386
2026-03-15T21:30:30.183469,7.6,120.6,0.386
2026-03-15T21:30:31.191256,7.5,120.7,0.386
2026-03-15T21:30:32.181142,7.6,120.7,0.386
2026-03-15T21:30:33.189628,7.6,120.6,0.387
2026-03-15T21:30:34.177690,7.6,120.7,0.386
2026-03-15T21:30:35.185118,7.6,120.6,0.386
2026-03-15T21:30:36.179404,7.6,120.7,0.386
2026-03-15T21:30:37.184502,7.6,120.7,0.387
2026-03-15T21:30:38.193581,7.6,120.6,0.385
2026-03-15T21:30:39.183937,7.6,120.7,0.387
2026-03-15T21:30:40.187370,7.5,120.6,0.386
2026-03-15T21:30:41.178813,7.6,120.7,0.387
2026-03-15T21:30:42.187096,7.5,120.6,0.386
2026-03-15T21:30:43.180459,7.5,120.6,0.385
2026-03-15T21:30:44.189806,7.5,120.7,0.373
2026-03-15T21:30:45.178885,7.2,120.7,0.375
