timestamp,watts,volts,amps
2026-03-15T19:42:44.388570,6.4,120.4,0.382
2026-03-15T19:42:45.397905,6.4,120.3,0.381
2026-03-15T19:42:46.389329,6.4,120.4,0.383
2026-03-15T19:42:47.394200,6.4,120.4,0.382
2026-03-15T19:42:48.388959,6.4,120.4,0.381
2026-03-15T19:42:49.394519,6.4,120.5,0.381
2026-03-15T19:42:50.403472,6.4,120.4,0.382
2026-03-15T19:42:51.392935,6.3,120.4,0.382
2026-03-15T19:42:52.401053,6.3,120.4,0.381
2026-03-15T19:42:53.391260,6.4,120.4,0.38
2026-03-15T19:42:54.396555,6.4,120.5,0.381
2026-03-15T19:42:55.406627,6.4,120.5,0.382
2026-03-15T19:42:56.396328,6.4,120.5,0.381
2026-03-15T19:42:57.403305,6.4,120.4,0.381
2026-03-15T19:42:58.394918,6.4,120.5,0.381
2026-03-15T19:42:59.399721,6.4,120.4,0.382
2026-03-15T19:43:00.408030,6.4,120.5,0.381
2026-03-15T19:43:01.398635,6.4,120.4,0.381
2026-03-15T19:43:02.404469,6.4,120.4,0.379
2026-03-15T19:43:03.398018,6.4,120.4,0.382
2026-03-15T19:43:04.405809,6.4,120.4,0.38
2026-03-15T19:43:05.396889,6.4,120.4,0.38
2026-03-15T19:43:06.401512,6.4,120.4,0.38
2026-03-15T19:43:07.410833,6.4,120.4,0.38
2026-03-15T19:43:08.399112,6.4,120.3,0.38
2026-03-15T19:43:09.407424,6.4,120.3,0.378
2026-03-15T19:43:10.398199,6.4,120.3,0.379
2026-03-15T19:43:11.403576,6.3,120.4,0.379
2026-03-15T19:43:12.412735,6.3,120.3,0.379
2026-03-15T19:43:13.402200,6.3,120.4,0.38
2026-03-15T19:43:14.409958,6.3,120.3,0.37
2026-03-15T19:43:15.400515,6.2,120.4,0.37
2026-03-15T19:43:16.406093,5.9,120.5,0.37
2026-03-15T19:43:17.414764,5.7,120.5,0.37
2026-03-15T19:43:18.404854,5.5,120.5,0.371
2026-03-15T19:43:19.411155,5.3,120.4,0.37
