timestamp,watts,volts,amps
2026-03-27T15:47:36.882059,8.4,119.7,0.391
2026-03-27T15:47:36.891143,8.4,119.7,0.39
2026-03-27T15:47:36.895396,8.4,119.7,0.39
2026-03-27T15:47:36.901535,8.5,119.7,0.389
2026-03-27T15:47:36.904041,8.5,119.7,0.388
2026-03-27T15:47:36.905687,8.4,119.8,0.389
2026-03-27T15:47:36.909457,8.4,119.7,0.392
2026-03-27T15:47:36.913571,8.4,119.8,0.39
2026-03-27T15:47:36.919672,8.5,119.6,0.391
2026-03-27T15:47:36.923615,8.5,119.7,0.389
2026-03-27T15:47:36.926723,8.5,119.6,0.392
2026-03-27T15:47:36.929703,8.5,119.7,0.39
2026-03-27T15:47:36.932103,8.4,119.7,0.391
2026-03-27T15:47:36.935900,8.4,119.8,0.389
2026-03-27T15:47:37.796537,8.4,119.7,0.388
2026-03-27T15:47:38.803066,8.4,119.8,0.391
2026-03-27T15:47:39.796861,8.4,119.8,0.391
2026-03-27T15:47:40.805166,8.4,119.7,0.39
2026-03-27T15:47:41.793006,8.4,119.7,0.389
2026-03-27T15:47:42.802068,8.4,119.9,0.389
2026-03-27T15:47:43.796063,8.4,119.7,0.387
2026-03-27T15:47:44.803361,8.4,119.8,0.386
2026-03-27T15:47:45.805724,8.4,119.8,0.388
2026-03-27T15:47:46.799787,8.4,119.8,0.389
2026-03-27T15:47:47.803993,8.4,119.7,0.389
2026-03-27T15:47:48.810569,8.4,119.8,0.389
2026-03-27T15:47:49.801879,8.4,119.8,0.39
2026-03-27T15:47:50.809112,8.4,119.7,0.388
2026-03-27T15:47:51.804359,8.4,119.9,0.386
2026-03-27T15:47:52.810732,8.4,119.8,0.388
2026-03-27T15:47:53.805354,8.4,119.7,0.387
2026-03-27T15:47:54.808264,8.4,119.8,0.389
2026-03-27T15:47:55.814458,8.5,119.8,0.388
2026-03-27T15:47:56.805484,8.4,119.7,0.387
2026-03-27T15:47:57.812917,8.4,119.7,0.388
2026-03-27T15:47:58.804914,8.4,119.8,0.39
2026-03-27T15:47:59.812463,8.4,119.7,0.39
2026-03-27T15:48:00.804834,8.4,119.8,0.388
2026-03-27T15:48:01.814376,8.4,119.8,0.388
2026-03-27T15:48:02.822605,8.4,119.8,0.388
2026-03-27T15:48:03.812653,8.4,119.8,0.391
2026-03-27T15:48:04.818238,8.5,119.8,0.387
2026-03-27T15:48:05.823701,8.4,119.7,0.388
2026-03-27T15:48:06.817569,8.4,119.8,0.385
2026-03-27T15:48:07.821681,8.5,119.8,0.389
2026-03-27T15:48:08.814016,8.5,119.7,0.388
2026-03-27T15:48:09.820333,8.4,119.8,0.389
2026-03-27T15:48:10.826545,8.4,119.7,0.389
2026-03-27T15:48:11.819754,8.4,119.7,0.386
2026-03-27T15:48:12.828355,8.4,119.8,0.387
2026-03-27T15:48:13.818291,8.4,119.7,0.387
2026-03-27T15:48:14.825283,8.4,119.8,0.386
2026-03-27T15:48:15.817087,8.4,119.8,0.388
2026-03-27T15:48:16.825151,8.4,119.7,0.388
2026-03-27T15:48:17.828541,8.4,119.8,0.389
2026-03-27T15:48:18.823411,8.4,119.7,0.389
2026-03-27T15:48:19.827063,8.4,119.7,0.389
2026-03-27T15:48:20.836655,8.4,119.7,0.388
2026-03-27T15:48:21.827496,8.4,119.7,0.386
2026-03-27T15:48:22.832925,8.4,119.7,0.389
