Device,algorithm_family,dev_backend,gpu_freq_mhz,mflops_per_w,throughput,run_power_w,mflops_per_w_std,throughput_std,run_power_w_std
JetsonOrinNanoSuper,OLA,nano-clfft,306.0,454.4449874255069,149677.41064189168,9.352631578947369,0.4562485086827314,167.10993743804656,0.01052631578947331
JetsonOrinNanoSuper,OLA,nano-clfft,408.0,470.65091872330163,157484.82100297013,9.501656920077972,0.9050019924269952,201.81839031799265,0.015588570981664386
JetsonOrinNanoSuper,OLA,nano-clfft,510.0,478.8205913553752,162379.92106914,9.629824561403508,0.5970710929462146,255.7174150787205,0.013175426916153957
JetsonOrinNanoSuper,OLA,nano-clfft,612.0,484.3748678901631,165580.30319278163,9.70701754385965,0.7715917053001415,266.88584329971974,0.005435766099941931
JetsonOrinNanoSuper,OLA,nano-clfft,714.0,484.7708784884655,168081.52449421483,9.84561403508772,0.8299226334747292,123.13266668615998,0.010871532199879998
JetsonOrinNanoSuper,OLA,nano-clfft,816.0,484.76375483245147,169382.12078382148,9.921929824561403,0.5000715969187837,313.5266990090954,0.015760206794018954
JetsonOrinNanoSuper,OLA,nano-clfft,918.0,474.71423223326127,171140.71951527262,10.237179487179487,1.1261152819171591,420.1846815675546,0.018472219132644487
JetsonOrinNanoSuper,OLA,nano-clfft,1020.0,461.86764743232794,172535.3687287311,10.607692307692306,1.4791991570256002,317.96066546439295,0.015384615384616674
JetsonOrinNanoSuper,OLA,nano-cufft,306.0,1432.0324430091598,546640.8475981123,10.839473684210526,2.11050290381793,664.9688069908551,0.00984646680729948
JetsonOrinNanoSuper,OLA,nano-cufft,408.0,1570.8837100838734,630012.323087114,11.38846153846154,4.738645814566391,1277.8330789074087,0.018040060614705474
JetsonOrinNanoSuper,OLA,nano-cufft,510.0,1686.2338151617726,695152.7380608724,11.706410256410257,10.32421826089011,3542.9469699683245,0.01971192932695612
JetsonOrinNanoSuper,OLA,nano-cufft,612.0,1767.1887859884444,744966.0571274142,11.970512820512822,3.4073594329862247,1728.4555305861068,0.025473813757989443
JetsonOrinNanoSuper,OLA,nano-cufft,714.0,1802.3950336607234,773316.0235254677,12.183333333333332,3.482033432240384,1377.2714965907342,0.015701857325533388
JetsonOrinNanoSuper,OLA,nano-cufft,816.0,1814.419114819422,789854.9204129974,12.361538461538464,8.165924852166839,1989.2275202435305,0.03673026580403999
JetsonOrinNanoSuper,OLA,nano-cufft,918.0,1780.0066685626737,803644.1659909668,12.820512820512823,6.924615008459968,909.3938872558997,0.042874984545801784
JetsonOrinNanoSuper,OLA,nano-cufft,1020.0,1735.8096534672475,813711.3739446377,13.311538461538461,5.440980324289433,2467.026430586416,0.03361811289755712
JetsonOrinNanoSuper,UPF-OS,nano-clfft,306.0,375.2310533947985,141621.37905217698,9.24519056261343,5.700256784650655,623.707678833948,0.14763585114842462
JetsonOrinNanoSuper,UPF-OS,nano-clfft,408.0,398.6190732253173,154695.75738066484,9.50438596491228,2.878994601391867,983.4674392074354,0.014285054726892064
JetsonOrinNanoSuper,UPF-OS,nano-clfft,510.0,413.4142635245193,163312.37610111656,9.67456140350877,3.7902943914210434,1688.097748134642,0.017429451518624513
JetsonOrinNanoSuper,UPF-OS,nano-clfft,612.0,424.80652808506403,170497.1950676912,9.829487179487181,1.8214369192500235,478.41614469569936,0.030154107795829926
JetsonOrinNanoSuper,UPF-OS,nano-clfft,714.0,429.2820625648123,174249.86599188554,9.941025641025641,1.9605749386488032,809.7797695095817,0.015126032003848426
JetsonOrinNanoSuper,UPF-OS,nano-clfft,816.0,433.406763120488,178609.76099601106,10.09284188034188,4.088714946897835,1612.9717354973216,0.02860559715287262
JetsonOrinNanoSuper,UPF-OS,nano-clfft,918.0,424.169649129617,181567.92109941508,10.483333333333333,3.4332887669303944,1566.987300988859,0.013249241725911852
JetsonOrinNanoSuper,UPF-OS,nano-clfft,1020.0,415.41025729288384,185385.85694696466,10.92948717948718,1.3043846500207836,813.8168117882101,0.024527085217575434
JetsonOrinNanoSuper,UPF-OS,nano-cufft,306.0,703.0010145161755,289616.79416958656,10.089473684210526,2.499207946669198,1218.3815537443706,0.015613049446517918
JetsonOrinNanoSuper,UPF-OS,nano-cufft,408.0,819.1623229108818,351592.0873821289,10.511538461538462,9.395617986720252,4449.710015699147,0.026085884550481612
JetsonOrinNanoSuper,UPF-OS,nano-cufft,510.0,892.6267715405107,397798.9369054269,10.914102564102564,8.777425313650255,4865.402906900418,0.040533912068950836
JetsonOrinNanoSuper,UPF-OS,nano-cufft,612.0,953.7481035444507,439318.822545642,11.28076923076923,15.16595810070324,7663.450588032276,0.021620722034701677
JetsonOrinNanoSuper,UPF-OS,nano-cufft,714.0,998.6664864425871,471102.989556063,11.552564102564103,15.813317978323857,9032.01039078825,0.045486630239796155
JetsonOrinNanoSuper,UPF-OS,nano-cufft,816.0,1043.1192407915976,503482.81445694226,11.82051282051282,12.956468958406063,8143.459964521111,0.05488641559542999
JetsonOrinNanoSuper,UPF-OS,nano-cufft,918.0,1058.1138957903477,539366.1330503445,12.48392857142857,13.928713813457634,7961.768738307256,0.07797664485509151
JetsonOrinNanoSuper,UPF-OS,nano-cufft,1020.0,1041.232756568441,555139.3162827377,13.057142857142857,14.60555555000862,9061.664794415057,0.07228063223241862
RaspberryPiComputeModule5,OLA,RPi-clfft,500.0,390.05098732152675,51231.63808633457,3.7300858998533415,4.208359203063142,43.64987862441088,0.04142566255629952
RaspberryPiComputeModule5,OLA,RPi-clfft,550.0,424.5517860320352,55362.35166837113,3.7037697581302234,7.004523467612653,50.93210298249054,0.06297549253970694
RaspberryPiComputeModule5,OLA,RPi-clfft,600.0,449.9226132729311,59113.53930379462,3.7311290322580644,4.309609034148467,20.469459512963237,0.03491255614364002
RaspberryPiComputeModule5,OLA,RPi-clfft,650.0,474.8816461361093,62624.5229609856,3.745017921146953,4.611888835151413,51.159231434330465,0.03858202768208117
RaspberryPiComputeModule5,OLA,RPi-clfft,700.0,485.2623102679386,65769.47774412583,3.8494982078853046,8.218509674769315,126.88712179272457,0.061553694332720954
RaspberryPiComputeModule5,OLA,RPi-clfft,750.0,507.864497978266,69054.6801030518,3.862388888888889,10.472874988215917,113.547720744469,0.07896733970915278
RaspberryPiComputeModule5,OLA,RPi-clfft,800.0,516.5712871033949,71975.67170844416,3.9579999999999997,11.029835053117505,42.97431787177827,0.08278164047661782
RaspberryPiComputeModule5,OLA,RPi-clfft,850.0,538.7853544598175,74781.29207509385,3.9416944444444444,6.436679158633035,179.3161387329061,0.04376178148245927
RaspberryPiComputeModule5,OLA,RPi-clfft,900.0,563.407956928329,77531.65900105321,3.908,5.940769847567253,119.65282086288812,0.04118252056394801
RaspberryPiComputeModule5,OLA,RPi-clfft,960.0,569.4272676593581,80631.47545221224,4.021583333333333,7.575773050719369,136.66893248024363,0.06016327321916946
RaspberryPiComputeModule5,UPF-OS,RPi-clfft,500.0,199.0522601786895,30755.373597495724,3.784467627090578,2.33452317658748,23.738992756803356,0.04438835635665034
