Banks,Device,algorithm_family,dev_backend,gpu_freq_mhz,mflops_per_w,throughput,run_power_w,mflops_per_w_std,throughput_std,run_power_w_std
1,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,500.0,1248.1422467046584,205474.65509055054,4.033333333333333,32.80344544372773,2274.3693527516393,0.0707106781186547
1,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,550.0,1326.1981347754565,212967.15470615745,3.933333333333333,19.530880387242085,2040.8801399318143,0.05000000000000007
1,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,600.0,1336.3234631559208,221242.04121662214,4.055555555555555,27.37463652867539,2277.5122941254153,0.05270462766947278
1,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,650.0,1351.3608971637136,227392.77641988164,4.122222222222223,32.944159015067726,3299.116621966511,0.06666666666666689
1,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,700.0,1401.7708571326125,235250.68517982328,4.111111111111111,31.22463529882532,3044.4911113780063,0.06009252125773344
1,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,750.0,1389.0425870114677,240088.53856068963,4.233333333333333,22.244168292729025,3877.835558124915,0.049999999999999864
1,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,800.0,1379.824623824674,244118.28029941427,4.333333333333333,20.96083045801718,2810.6304010769113,0.05000000000000021
1,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,850.0,1430.0680148984748,252360.25153451564,4.322222222222222,21.90151869397086,2809.7580786842746,0.04409585518441001
1,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,900.0,1377.8442870172819,254388.73807058565,4.522222222222222,22.675027138450776,2468.9683973400693,0.04409585518440961
1,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,960.0,1365.802464148771,258974.77326266668,4.644444444444444,21.582808581701972,3394.5264926877426,0.07264831572567812
1,RaspberryPiComputeModule5,UPF-OS,RPi-fftw,500.0,inf,707597.6343976866,4.790123456790123,,110723.77683653789,0.6803684550064769
1,RaspberryPiComputeModule5,UPF-OS,RPi-fftw,,3313.108258950004,728600.7199558374,5.368055555555555,351.5595112505407,100316.45772285823,0.18140794343283997
2,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,500.0,907.4670560482144,145255.32868461733,3.9206349206349205,12.130487381467299,872.3928781711011,0.0457985334801703
2,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,550.0,948.3898196650548,153288.87355579704,3.9587301587301584,10.654668814958578,923.3408406788614,0.033077247593928015
2,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,600.0,994.395173115677,160126.16307489964,3.9444444444444446,17.334319116733607,1395.5531933475008,0.054606404481808195
2,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,650.0,1032.057101849903,166946.99711063268,3.961904761904762,11.968969534880276,1817.461941523058,0.045175395145262504
2,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,700.0,1011.3458887746674,172507.503389362,4.177777777777778,12.642754601284015,1571.9449289747702,0.04409585518441008
2,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,750.0,1008.706255192094,176642.51410442262,4.288888888888889,10.347957168075562,1756.798393797365,0.03333333333333323
2,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,800.0,1044.4917314523511,183369.16526043936,4.300000000000001,17.253618453362478,2381.4527126196913,0.050000000000000086
2,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,850.0,1046.5105471770921,187527.10229888605,4.388888888888889,15.208416398369039,1848.6824730714372,0.03333333333333361
2,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,900.0,1020.8545742049723,190803.63074899392,4.5777777777777775,14.6797784458492,2272.4790930436575,0.04409585518440954
2,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,960.0,1019.9027115368704,195729.10305639656,4.7,13.838615684359628,2655.76295150773,0.0
2,RaspberryPiComputeModule5,UPF-OS,RPi-fftw,500.0,1927.6765346914733,383275.78881482006,4.841975308641975,144.7635966689539,59361.32448377589,0.408308767212652
2,RaspberryPiComputeModule5,UPF-OS,RPi-fftw,,1815.1313214408729,394843.0464618099,5.311111111111111,196.6925686237858,54427.27756929769,0.17647212248865124
4,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,500.0,560.4844600297533,90845.75901400042,3.96984126984127,6.4370146110444795,540.3894517269422,0.031497039417435355
4,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,550.0,590.8383960402434,96191.51852320765,3.9873015873015873,4.8090231628629585,652.689936822136,0.021951296326887856
4,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,600.0,621.9125552472862,101450.65178278423,3.9952380952380953,4.775331030128384,497.75964404290306,0.027664166758624365
4,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,650.0,641.0062233847528,106218.621719413,4.0587301587301585,10.878564681818007,1053.497737136606,0.03458533106269983
4,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,700.0,666.3420868704129,111451.57303812283,4.0968253968253965,11.950333067081784,1221.4640128293288,0.040265558393542455
4,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,750.0,677.2913514089523,115959.70854604311,4.193650793650794,13.037403627868935,1535.2254261873534,0.04467062628403264
4,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,800.0,684.2262915348023,119642.47485605055,4.282539682539682,6.886288115939016,1200.1089412068152,0.03696232070538104
4,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,850.0,689.9965557127558,122749.83548778798,4.357142857142858,11.374191244260357,1854.0182135687821,0.04285714285714318
4,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,900.0,704.1985088776597,127344.03659788333,4.42962962962963,15.95254762565411,1840.5136416604835,0.04819754428790136
4,RaspberryPiComputeModule5,UPF-OS,RPi-clfft,960.0,721.7369361020546,132002.05476777416,4.479365079365079,10.286527425581637,1622.757874368487,0.019047619047618917
4,RaspberryPiComputeModule5,UPF-OS,RPi-fftw,500.0,764.0509903400005,155337.83367240845,4.974250440917108,23.945394880381162,12590.01680509362,0.2992202430355902
4,RaspberryPiComputeModule5,UPF-OS,RPi-fftw,,722.1828112732283,162816.88143006247,5.515873015873016,39.735935500058055,12225.101420925997,0.1342380915503655
