,frequency_component,operating_frequency_mhz,Algorithm,test_name,Threads,variant,kernel_runtime,roi_runtime,run_power_w,energy_j,edp_j_s,kernel_runtime_std,roi_runtime_std,run_power_w_std,energy_j_std,edp_j_s_std
0,CPU,1500.0,BFS,BFS-OpenMP-PI-serial,1.0,Serial,28.032336333333333,28.032723,3.865982042648709,0.10837246077589226,0.0030379322135413553,0.009539369196476048,0.009533491448572568,0.013434126841737701,0.00036156068380565796,9.80441659849352e-06
1,CPU,1500.0,BFS,BFS-OpenMP-PI-t4,4.0,OpenMP,7.661823666666667,7.662559833333333,6.457894736842104,0.04947934786315789,0.0003791029586303358,0.0057297530022389605,0.005716830709988517,0.023300993285450877,0.00021145989627691008,1.880793407027361e-06
2,CPU,1500.0,FFT,FFT-OpenMP-PI-serial-32k,1.0,Serial,0.40052233333333337,0.40074883333333333,3.6940928270042193,0.0014795655082278482,5.926003566419479e-07,0.0007634106802151902,0.0007562881505528578,0.024039526638386457,9.816182805216798e-06,4.314437300802444e-09
3,CPU,1500.0,FFT,FFT-OpenMP-PI-t4-32k,4.0,OpenMP,0.11261966666666667,0.112815,6.5815302144249515,0.000741207444005848,8.34766869245399e-08,0.0006627656197077985,0.0006625595822263802,0.017805473066685087,4.354743947648162e-06,9.579416093132788e-10
4,CPU,1500.0,KMeans,KMeans-OpenMP-PI-t1,1.0,Serial,5324.830567333333,5324.8323740000005,3.614859318996416,19.24850758378638,102.49502566956325,2.2340404112306302,2.2340490593983686,0.027248631571069194,0.1444104723062109,0.7677344866469531
5,CPU,1500.0,KMeans,KMeans-OpenMP-PI-t4,4.0,OpenMP,1334.4895998333334,1334.49148,6.851388888888889,9.143205440956349,12.201658470860165,1.6015848175525196,1.601589625461763,0.08745963327592282,0.1261854162480083,0.1813810604286228
6,CPU,1500.0,SPMV,SPMV-OpenMP-PI,4.0,OpenMP,17.4550285,17.455497666666666,8.226923076923077,0.14360164201666667,0.002506592928491825,0.045300600484982106,0.045279160092328026,0.02653567432409239,0.0007161825057171217,1.8208077740406173e-05
7,CPU,1500.0,SPMV,SPMV-serial-PI,1.0,Serial,48.90341033333333,48.903849666666666,4.541333333333333,0.22208203571266663,0.010863284777101967,0.8825131988095498,0.8824702059871874,0.019043809142780685,0.003793837679674794,0.00038048663698520913
8,CPU,1500.0,SRAD,SRAD-OpenMP-PI-serial-small,1.0,Serial,61.930349666666665,61.93194283333333,4.258771929824562,0.2637449909614035,0.01633394098880137,0.2709849805894544,0.2709980481881142,0.041095344401605866,0.0025342515543704024,0.00018591052973808108
9,CPU,1500.0,SRAD,SRAD-OpenMP-PI-t4-small,4.0,OpenMP,45.54759383333334,45.54935733333334,6.5476190476190474,0.2982261521119048,0.0135835273379626,0.16088578227726305,0.16084110086997824,0.02659855246432136,0.001018862084137991,7.670453701234367e-05
