Device,algorithm_family,dev_backend,gpu_freq_mhz,mflops_per_w,throughput,run_power_w,conv_avg_ms,mflops_per_w_std,throughput_std,run_power_w_std,conv_avg_ms_std
JetsonOrinNanoSuper,OLA,nano-clfft,306.0,454.4449874255069,149677.41064189168,9.352631578947369,34.25936266666667,0.4562485086827314,167.10993743804656,0.01052631578947331,0.03820537042179456
JetsonOrinNanoSuper,OLA,nano-clfft,408.0,470.65091872330163,157484.82100297013,9.501656920077972,32.56090566666666,0.9050019924269952,201.81839031799265,0.015588570981664386,0.041678604922271226
JetsonOrinNanoSuper,OLA,nano-clfft,510.0,478.8205913553752,162379.92106914,9.629824561403508,31.5792455,0.5970710929462146,255.7174150787205,0.013175426916153957,0.049737736855429766
JetsonOrinNanoSuper,OLA,nano-clfft,612.0,484.3748678901631,165580.30319278163,9.70701754385965,30.968758833333336,0.7715917053001415,266.88584329971974,0.005435766099941931,0.04983543459193102
JetsonOrinNanoSuper,OLA,nano-clfft,714.0,484.7708784884655,168081.52449421483,9.84561403508772,30.50789383333333,0.8299226334747292,123.13266668615998,0.010871532199879998,0.022330061051566555
JetsonOrinNanoSuper,OLA,nano-clfft,816.0,484.76375483245147,169382.12078382148,9.921929824561403,30.2736185,0.5000715969187837,313.5266990090954,0.015760206794018954,0.05607632838105428
JetsonOrinNanoSuper,OLA,nano-clfft,918.0,474.71423223326127,171140.71951527262,10.237179487179487,29.962668166666663,1.1261152819171591,420.1846815675546,0.018472219132644487,0.07343557257192695
JetsonOrinNanoSuper,OLA,nano-clfft,1020.0,461.86764743232794,172535.3687287311,10.607692307692306,29.720299166666667,1.4791991570256002,317.96066546439295,0.015384615384616674,0.05476890601944498
JetsonOrinNanoSuper,OLA,nano-cufft,306.0,1432.0324430091598,546640.8475981123,10.839473684210526,9.379839500000001,2.11050290381793,664.9688069908551,0.00984646680729948,0.0114675520447914
JetsonOrinNanoSuper,OLA,nano-cufft,408.0,1570.8837100838734,630012.323087114,11.38846153846154,8.138374333333333,4.738645814566391,1277.8330789074087,0.018040060614705474,0.016493713525663624
JetsonOrinNanoSuper,OLA,nano-cufft,510.0,1686.2338151617726,695152.7380608724,11.706410256410257,7.3757616666666665,10.32421826089011,3542.9469699683245,0.01971192932695612,0.03748114366807249
JetsonOrinNanoSuper,OLA,nano-cufft,612.0,1767.1887859884444,744966.0571274142,11.970512820512822,6.882356833333333,3.4073594329862247,1728.4555305861068,0.025473813757989443,0.015927464272967658
JetsonOrinNanoSuper,OLA,nano-cufft,714.0,1802.3950336607234,773316.0235254677,12.183333333333332,6.6300205000000005,3.482033432240384,1377.2714965907342,0.015701857325533388,0.011823562436930985
JetsonOrinNanoSuper,OLA,nano-cufft,816.0,1814.419114819422,789854.9204129974,12.361538461538464,6.491176333333333,8.165924852166839,1989.2275202435305,0.03673026580403999,0.0163260362203033
JetsonOrinNanoSuper,OLA,nano-cufft,918.0,1780.0066685626737,803644.1659909668,12.820512820512823,6.3797155,6.924615008459968,909.3938872558997,0.042874984545801784,0.007200142797195311
JetsonOrinNanoSuper,OLA,nano-cufft,1020.0,1735.8096534672475,813711.3739446377,13.311538461538461,6.3008500000000005,5.440980324289433,2467.026430586416,0.03361811289755712,0.019159382568339597
JetsonOrinNanoSuper,UPF-OS,nano-clfft,306.0,375.2310533947985,141621.37905217698,9.24519056261343,1.8065411666666666,5.700256784650655,623.707678833948,0.14763585114842462,0.007936492762339457
JetsonOrinNanoSuper,UPF-OS,nano-clfft,408.0,398.6190732253173,154695.75738066484,9.50438596491228,1.653798,2.878994601391867,983.4674392074354,0.014285054726892064,0.010465864321688853
JetsonOrinNanoSuper,UPF-OS,nano-clfft,510.0,413.4142635245193,163312.37610111656,9.67456140350877,1.5665908333333334,3.7902943914210434,1688.097748134642,0.017429451518624513,0.01618257025835725
JetsonOrinNanoSuper,UPF-OS,nano-clfft,612.0,424.80652808506403,170497.1950676912,9.829487179487181,1.5004235000000001,1.8214369192500235,478.41614469569936,0.030154107795829926,0.004204451866771699
