Banks,algorithm_family,dev_backend,frequency_component,operating_frequency_mhz,mflops_per_w,throughput,run_power_w,mflops_per_w_std,throughput_std,run_power_w_std
1,OLA,RPi_clfft,GPU,960.0,618.1951985678926,765367.8798157815,4.125641025641025,4.083276529266697,3051.3973440414047,0.016617283842071725
1,OLA,RPi_fftw,CPU,2400.0,1662.464235647918,2291011.7656862154,4.592200854700854,10.218568869221535,7367.174497093814,0.015386841007106166
1,OLA,nano_clfft,GPU,816.0,838.3205775991155,2516366.009139655,10.002380952380951,5.053140712164401,14612.580541283745,0.014045601146430935
1,OLA,nano_cufft,GPU,816.0,2512.0426683539854,8172567.07412093,10.841025641025643,26.13504805629836,86461.32989608108,0.021019386186583423
1,UPF-OS,RPi_clfft,GPU,960.0,266.5365002008727,387011.17142865976,4.183333333333334,2.0029078746105733,1601.2736066647356,0.0390468287105006
1,UPF-OS,RPi_fftw,CPU,2400.0,448.8023889158933,874095.2294257949,5.611111111111111,2.4838697463530925,741.2730593697764,0.033333333333333534
1,UPF-OS,nano_clfft,GPU,714.0,123.54557406803373,407209.5741150835,9.49561403508772,1.8052170764459234,5987.254461640156,0.003961961330046617
1,UPF-OS,nano_cufft,GPU,918.0,452.2923041170832,1663345.9967979987,10.594871794871795,2.7551046430096258,10533.488349673205,0.009315847243376429
2,UPF-OS,RPi_fftw,CPU,2400.0,366.89990286934824,473479.7822631007,5.5777777777777775,5.253849118375264,1630.8750580191363,0.06666666666666658
4,OLA,RPi_clfft,GPU,960.0,590.4077304273036,284580.99199583,4.023076923076923,8.494087356594479,494.5504494662021,0.05958435917242186
4,OLA,RPi_fftw,CPU,2400.0,1379.279563068201,789531.3928799188,4.776923076923077,6.70677162695769,2848.718700260694,0.012871692715908607
4,OLA,nano_clfft,GPU,816.0,796.9694525554061,993836.2151971337,10.406410256410258,3.3969647975806847,4362.8378282214035,0.007563016001923364
4,OLA,nano_cufft,GPU,816.0,2035.769506660731,2868107.145495717,11.756944444444445,3.937665941236962,6728.749524344951,0.009442172059069345
4,UPF-OS,RPi_clfft,GPU,960.0,294.8940762258206,167859.3078214193,4.100828157349897,4.5290515194411345,573.6560609387506,0.06493896992325471
4,UPF-OS,RPi_fftw,CPU,2400.0,223.8487072517559,177486.52851175243,5.711111111111111,3.5173331730738995,2867.656699562058,0.033333333333333284
4,UPF-OS,nano_clfft,GPU,918.0,246.9724701718316,348333.810734112,10.158760683760683,2.7896408834234943,5023.065661769899,0.03444322493652471
4,UPF-OS,nano_cufft,GPU,1020.0,763.691995158954,1251956.160057515,11.80787545787546,6.255031621384253,13120.332505474264,0.044455495815020424
8,OLA,RPi_clfft,GPU,960.0,551.3419758721454,153369.13622662658,4.180769230769231,5.005749459748949,579.1978130858679,0.02320477404461317
8,OLA,RPi_fftw,CPU,2400.0,1316.0782135947363,408044.88003836054,4.6596153846153845,4.505072196939567,2149.7563227997002,0.02525022701872295
8,OLA,nano_clfft,GPU,816.0,792.9012062379903,557006.5987899258,10.557692307692308,5.941731965471761,3026.2979655041336,0.02989132188880907
8,OLA,nano_cufft,GPU,816.0,1871.2778992437752,1519067.7378092639,12.200000000000001,6.914458273942329,6238.015184587294,0.010878565864409578
8,UPF-OS,RPi_clfft,GPU,960.0,284.43684171478,92339.19057888235,4.209649122807018,3.6726642115230703,166.07487908931125,0.05433217487109659
8,UPF-OS,RPi_fftw,CPU,2200.0,155.56340019550737,66206.98737299767,5.517948717948718,1.163530421882812,667.8374873272169,0.025800784355766937
8,UPF-OS,nano_clfft,GPU,816.0,335.7442276734263,260772.29327077267,10.070175438596491,2.9204822703919664,2427.9099637303407,0.010349390318423747
8,UPF-OS,nano_cufft,GPU,918.0,898.3342846554075,816285.3811463838,11.780555555555557,13.968353984950614,16493.06153679065,0.07030700343163718
16,OLA,RPi_clfft,GPU,960.0,569.4272676593581,80631.47545221224,4.021583333333333,7.575773050719369,136.66893248024363,0.06016327321916946
16,OLA,RPi_fftw,CPU,2400.0,1281.815704152043,211787.25143751595,4.692105263157894,11.799242768420765,832.8835106220837,0.05207601518300636
16,OLA,nano_clfft,GPU,714.0,484.7708784884655,168081.52449421483,9.84561403508772,0.8299226334747292,123.13266668615998,0.010871532199879998
16,OLA,nano_cufft,GPU,816.0,1814.419114819422,789854.9204129974,12.361538461538464,8.165924852166839,1989.2275202435305,0.03673026580403999
16,UPF-OS,RPi_clfft,GPU,960.0,283.8638897976053,49087.89060048299,4.235447947947947,2.756629762949087,68.28474238215088,0.041337741186280745
16,UPF-OS,RPi_fftw,CPU,2000.0,214.55107021994635,44000.434357172344,5.02280701754386,2.4544340015999437,422.31752411656043,0.04112903371815482
16,UPF-OS,nano_clfft,GPU,816.0,433.406763120488,178609.76099601106,10.09284188034188,4.088714946897835,1612.9717354973216,0.02860559715287262
16,UPF-OS,nano_cufft,GPU,918.0,1058.1138957903477,539366.1330503445,12.48392857142857,13.928713813457634,7961.768738307256,0.07797664485509151
