run_dir,Platform,Device,Algorithm,Threads,Backend,Banks,Channels,arm_freq,gpu_freq,dmc_freq_max,policy4_freq_min,cpu_freq,policy6_freq,core_freq_min,over_voltage_min,cpu_freq_max,governor,policy0_freq_min,policy0_freq,policy0_freq_max,Device,v3d_freq_min,policy6_freq_max,dmc_freq_min,Config_Name,v3d_freq,policy4_freq,Config_ID,cpu_freq_min,TestName,arm_freq_min,cpu_governor,policy4_freq_max,core_freq,over_voltage,dmc_freq,Governor,dmc_governor,gpu_freq_max,policy6_freq_min,cores_online,gpu_freq_min,emc_max_freq,gpu_governor,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min650\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,650,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1820.935221,36418.732015,,,3.18,3.6702702702702705
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min700\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,700,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1716.44032,34328.834794,,,3.2066666666666666,3.7351351351351347
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min700\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,700,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1719.464465,34389.317183,,,3.808333333333333,3.6972972972972977
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min700\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,700,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1720.009926,34400.227184,,,3.2066666666666666,3.7567567567567566
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min750\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,750,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1631.82865,32636.599221,,,3.3466666666666662,3.8135135135135134
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min750\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,750,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1638.092026,32761.86774,,,3.841666666666667,3.7756756756756755
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min750\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,750,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1639.341751,32786.861981,,,3.8916666666666666,3.810810810810811
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min800\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,800,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1558.857148,31177.172796,,,3.9233333333333333,3.9054054054054053
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min800\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,800,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1564.511099,31290.25037,,,3.978333333333333,3.9054054054054053
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\clvk_arm_freq_powersave_arm_freq_min1200_core_freq_min500_v3d_freq_min800\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,800,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1560.289218,31205.810982,,,3.915,3.935483870967742
