run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,policy0_freq_min,v3d_freq,gpu_freq,dmc_freq,Device,v3d_freq_min,dmc_governor,gpu_governor,policy0_freq,policy4_freq,policy0_freq_max,policy6_freq,dmc_freq_min,TestName,Governor,gpu_freq_max,cores_online,arm_freq_min,cpu_governor,cpu_freq,cpu_freq_max,core_freq,dmc_freq_max,cpu_freq_min,arm_freq,over_voltage_min,Config_ID,governor,policy6_freq_max,policy6_freq_min,policy4_freq_min,policy4_freq_max,Config_Name,over_voltage,core_freq_min,emc_max_freq,gpu_freq_min,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min550\run3,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.573286,33498.339091,,,3.3049999999999997,3.8129032258064517
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min550\run4,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.709874,34032.609258,,,3.2266666666666666,3.8483870967741933
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min550\run5,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.617995,33673.368276,,,3.283333333333333,3.851612903225806
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min550\run6,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.755042,34209.06961,,,3.25,3.858064516129032
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min550\run7,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.641414,33764.735888,,,3.2716666666666665,3.8741935483870966
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min550\run8,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.745914,34173.342887,,,3.2516666666666665,3.8
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min550\run9,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.623113,33692.897128,,,3.295,3.838709677419355
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min600\run1,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.249156,32232.18874,,,3.3,3.8741935483870966
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min600\run2,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.076919,31559.023482,,,3.313333333333333,3.896774193548387
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min600\run3,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clfft_upols_vs_v3d_freq_16_banks,powersave,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,8.106967,31676.580148,,,3.3016666666666667,3.8838709677419354
