run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,Device,governor,cpu_freq,policy4_freq_max,v3d_freq,cpu_freq_max,over_voltage,core_freq,gpu_freq_min,dmc_freq_min,cpu_governor,over_voltage_min,dmc_governor,policy0_freq_max,core_freq_min,TestName,gpu_freq,policy0_freq,Config_ID,gpu_governor,Governor,Config_Name,policy4_freq,policy0_freq_min,cores_online,policy6_freq_min,emc_max_freq,policy6_freq,dmc_freq,policy4_freq_min,policy6_freq_max,v3d_freq_min,dmc_freq_max,gpu_freq_max,cpu_freq_min,arm_freq_min,arm_freq,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run4,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,650,0,0,0,1500,0,7.807923,30508.770593,,,3.3233333333333333,3.958064516129032
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run5,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,650,0,0,0,1500,0,7.677469,29998.471001,,,3.3516666666666666,3.9419354838709677
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run6,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,650,0,0,0,1500,0,7.864406,30728.890445,,,3.3049999999999997,3.893548387096774
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run7,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,650,0,0,0,1500,0,7.811205,30520.882038,,,3.2849999999999997,3.870967741935484
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run8,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,650,0,0,0,1500,0,7.775685,30382.13513,,,3.2716666666666665,3.9387096774193546
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min650\run9,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,650,0,0,0,1500,0,7.734542,30221.163149,,,3.3116666666666665,3.92258064516129
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min700\run1,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,700,0,0,0,1500,0,7.510425,29346.038835,,,3.3433333333333333,3.9959999999999996
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min700\run2,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,700,0,0,0,1500,0,7.538023,29453.811797,,,3.338333333333333,4.024
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min700\run3,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,700,0,0,0,1500,0,7.381045,28840.439668,,,3.35,3.988
bench_logs\upols_stream_tests\2026-05-15\clfft_upols_vs_v3d_freq_16_banks\arm_freq_min1500_core_freq_min500_v3d_freq_min700\run4,clvk,RaspberryPiComputeModule5,,,,,clfft-upols,,16,16,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,0,0,500,clfft_upols_vs_v3d_freq_16_banks,0,0,0,0,powersave,0,0,0,0,0,0,0,0,0,0,700,0,0,0,1500,0,7.593923,29672.087798,,,3.3433333333333333,4.004
