run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,policy6_freq,core_freq_min,Config_ID,Config_Name,policy0_freq_max,Governor,gpu_freq,v3d_freq_min,policy6_freq_min,policy0_freq_min,over_voltage,cpu_freq_max,cpu_freq,Device,over_voltage_min,dmc_freq_min,policy4_freq_min,policy0_freq,dmc_freq,gpu_governor,TestName,dmc_freq_max,gpu_freq_max,policy4_freq_max,cpu_governor,arm_freq_min,policy4_freq,policy6_freq_max,cores_online,v3d_freq,governor,arm_freq,emc_max_freq,dmc_governor,gpu_freq_min,cpu_freq_min,core_freq,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq900000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,900000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,67609.263199,80.989542,104.289865,1.7533333333333334,5.171428571428571
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq600000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,600000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,67324.792823,90.168435,114.640566,1.7533333333333334,4.761904761904762
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq600000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,600000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,73907.397118,89.536281,114.089993,1.7466666666666666,4.811111111111111
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq600000000/run1,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,600000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,73495.944993,89.541775,114.039817,1.7533333333333334,4.815384615384615
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq600000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,600000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,66828.965907,90.229383,114.6848,1.7666666666666666,4.752380952380952
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq1000000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,1000000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,67819.308408,79.491388,102.858944,1.76,5.4
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq1000000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,1000000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69783.096575,88.644119,112.584861,1.76,5.342857142857143
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq1000000000/run1,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,1000000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,70545.865575,87.223902,111.08956,1.74,5.352380952380953
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq1000000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,1000000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,70786.239159,89.354319,113.529374,1.7533333333333334,5.328571428571429
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-clvk-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq700000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,700000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-clvk-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,68057.448699,90.189427,114.602346,1.76,4.842857142857143
