run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,governor,dmc_governor,arm_freq,core_freq_min,gpu_governor,Device,policy0_freq,policy4_freq_max,over_voltage_min,over_voltage,gpu_freq_max,cpu_freq_min,cpu_freq,policy6_freq_min,dmc_freq_min,dmc_freq,policy4_freq,v3d_freq,gpu_freq,policy6_freq,policy4_freq_min,gpu_freq_min,cpu_governor,emc_max_freq,Config_ID,TestName,cpu_freq_max,dmc_freq_max,cores_online,policy0_freq_max,core_freq,arm_freq_min,policy0_freq_min,v3d_freq_min,Governor,policy6_freq_max,Config_Name,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq600\run3,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,208833.530542,13514.21874,13616.843699,3.3399999999999994,3.8539568345323736
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq600\run4,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,222576.679793,13514.325311,13624.161899,3.3466666666666662,3.8082758620689656
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq600\run5,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,209093.371783,13513.560381,13623.116029,3.3666666666666667,3.8597122302158273
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq600\run6,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,222609.96246,13513.823629,13616.990005,3.3266666666666667,3.831034482758621
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq650\run1,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,217260.271426,13109.586041,13211.031331,3.313333333333333,3.8937931034482762
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq650\run2,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,203291.145397,13109.359787,13211.931068,3.3466666666666662,3.8714285714285714
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq650\run3,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,216483.213834,13108.908252,13212.023788,3.2866666666666666,3.883448275862069
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq650\run4,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,203330.808101,13109.540437,13211.236579,3.3466666666666662,3.918045112781955
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq650\run5,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,216367.079648,13109.426964,13212.945931,3.36,3.9213793103448276
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq650\run6,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,203296.669027,13110.878418,13213.104405,3.36,3.918045112781955
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq700\run1,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,199001.245363,12745.680249,12855.983033,3.313333333333333,3.900787401574803
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq700\run2,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,210983.984522,12746.066503,12847.628348,3.3399999999999994,3.910144927536232
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq700\run3,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,198050.830438,12746.848994,12848.963429,3.3399999999999994,3.911023622047244
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq700\run4,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,198211.557178,12746.665948,12849.622637,3.353333333333333,3.927067669172932
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq700\run5,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,198214.232104,12747.204506,12850.586339,3.3266666666666667,3.911811023622047
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq700\run6,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,198258.296623,12746.302492,12849.920094,3.38,3.930075187969925
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq750\run1,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,194522.336569,12437.806122,12543.118106,3.3733333333333335,3.930578512396694
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq750\run2,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,193788.384089,12438.642986,12539.566574,3.4266666666666667,3.94251968503937
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq750\run3,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,193791.971126,12438.971648,12543.305098,3.3666666666666667,3.9503937007874015
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq750\run4,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,206585.849766,12438.544427,12549.036963,3.3866666666666663,3.9285714285714284
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq750\run5,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,193927.885718,12438.956213,12543.282239,3.38,3.9314960629921263
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq750\run6,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,193872.688681,12438.665597,12541.831417,3.3666666666666667,3.93801652892562
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq800\run1,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,190807.674923,12166.742209,12271.313287,3.36,3.9652892561983473
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq800\run2,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,202387.627102,12167.329908,12271.219591,3.36,3.97593984962406
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq800\run3,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,190115.215183,12167.347779,12270.956609,3.3666666666666667,3.9669421487603307
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq800\run4,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,190031.051683,12166.986589,12270.746176,3.38,4.003305785123967
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq800\run5,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,190010.559905,12167.579346,12272.696483,3.3733333333333335,3.9809917355371898
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq800\run6,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,202302.179769,12167.256637,12271.859628,3.3666666666666667,3.965413533834586
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq850\run1,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,199899.517233,11953.778305,12058.019228,3.3333333333333335,3.991338582677165
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq850\run2,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,199161.640492,11953.456844,12056.154343,3.3666666666666667,3.989763779527559
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq850\run3,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,187021.432221,11953.514059,12057.796995,3.3266666666666667,3.997520661157025
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq850\run4,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,199070.564511,11953.405517,12056.08953,3.3666666666666667,4.013385826771653
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq850\run5,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,199066.996622,11953.505714,12056.770748,3.3733333333333335,4.011023622047244
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq850\run6,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,187163.067277,11953.501671,12064.726687,3.3866666666666663,4.013223140495868
bench_logs\HPEC\BFS-OpenCL-PI\v3d_freq900\run1,OpenCL,RaspberryPiComputeModule5,BFS,,,,,,,,0,0,2400,960,0,RaspberryPiComputeModule5,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,BFS-OpenCL-PI,0,0,0,0,960,2400,0,0,performance,0,0,,197304.368179,11769.538876,11879.872789,3.38,4.048412698412698
