timestamp,watts,volts,amps
2026-03-23T18:19:41.588286,7.9,120.8,0.387
2026-03-23T18:19:42.591160,8.0,120.8,0.389
2026-03-23T18:19:43.585904,8.0,120.8,0.386
2026-03-23T18:19:44.591298,8.0,120.7,0.385
2026-03-23T18:19:45.600958,8.0,120.7,0.385
2026-03-23T18:19:46.590390,8.0,120.8,0.386
2026-03-23T18:19:47.598298,8.0,120.8,0.386
2026-03-23T18:19:48.589233,8.0,120.7,0.385
2026-03-23T18:19:49.595259,8.0,120.8,0.386
2026-03-23T18:19:50.589036,7.9,120.8,0.386
2026-03-23T18:19:51.596341,8.0,120.8,0.387
2026-03-23T18:19:52.603555,8.0,120.8,0.387
2026-03-23T18:19:53.593019,8.0,120.8,0.387
2026-03-23T18:19:54.599220,8.0,120.8,0.385
2026-03-23T18:19:55.593431,7.9,120.8,0.386
2026-03-23T18:19:56.599542,7.9,120.8,0.386
2026-03-23T18:19:57.592693,8.0,120.8,0.385
2026-03-23T18:19:58.599500,8.0,120.8,0.385
2026-03-23T18:19:59.607182,8.0,120.7,0.386
2026-03-23T18:20:00.596615,8.0,120.8,0.385
2026-03-23T18:20:01.602823,8.0,120.8,0.386
2026-03-23T18:20:02.597300,8.0,120.8,0.385
2026-03-23T18:20:03.603393,8.0,120.8,0.386
2026-03-23T18:20:04.594053,7.9,120.8,0.387
2026-03-23T18:20:05.603282,8.0,120.7,0.385
2026-03-23T18:20:06.610505,7.9,120.7,0.385
2026-03-23T18:20:07.600951,8.0,120.8,0.386
2026-03-23T18:20:08.606888,8.0,120.8,0.386
2026-03-23T18:20:09.597302,8.0,120.8,0.385
2026-03-23T18:20:10.606951,8.0,120.8,0.386
2026-03-23T18:20:11.600940,7.9,120.8,0.387
2026-03-23T18:20:12.606653,8.0,120.7,0.387
2026-03-23T18:20:13.615024,8.0,120.8,0.386
2026-03-23T18:20:14.604495,8.0,120.7,0.386
2026-03-23T18:20:15.610385,8.0,120.8,0.387
2026-03-23T18:20:16.604126,7.9,120.8,0.386
2026-03-23T18:20:17.611461,7.9,120.9,0.385
2026-03-23T18:20:18.623476,8.0,120.8,0.385
2026-03-23T18:20:19.607014,8.0,120.9,0.384
2026-03-23T18:20:20.614132,8.0,120.8,0.386
2026-03-23T18:20:21.605543,8.0,120.8,0.385
2026-03-23T18:20:22.613905,7.9,120.8,0.385
2026-03-23T18:20:23.618429,8.0,120.9,0.386
2026-03-23T18:20:24.608489,8.0,120.9,0.385
2026-03-23T18:20:25.615859,7.9,120.9,0.386
2026-03-23T18:20:26.606798,7.9,120.8,0.385
2026-03-23T18:20:27.615449,8.0,120.8,0.386
2026-03-23T18:20:28.605085,8.0,120.8,0.386
2026-03-23T18:20:29.611887,8.0,120.8,0.387
2026-03-23T18:20:30.604155,8.0,120.9,0.386
2026-03-23T18:20:31.611942,8.0,120.9,0.387
2026-03-23T18:20:32.619551,8.0,120.9,0.386
2026-03-23T18:20:33.608451,7.9,120.8,0.387
2026-03-23T18:20:34.614552,8.0,120.9,0.386
2026-03-23T18:20:35.608237,8.0,120.8,0.386
2026-03-23T18:20:36.615316,8.0,120.8,0.387
2026-03-23T18:20:37.620647,8.0,120.9,0.387
2026-03-23T18:20:38.611200,8.0,120.9,0.386
2026-03-23T18:20:39.618075,8.0,120.9,0.386
2026-03-23T18:20:40.609897,7.9,121.0,0.386
